timestep,area,scenario,load,load_shedding,power_dumping
1,1,1,576.1436953912759,0.0,0.0
1,1,2,400.39653119880086,0.0,0.0
1,1,3,537.0754733566437,0.0,0.0
1,2,1,0.0,0.0,0.0
1,2,2,0.0,0.0,0.0
1,2,3,0.0,0.0,0.0
1,3,1,545.3396054711885,10.898713569952125,0.0
1,3,2,378.9744926207082,0.0,0.0
1,3,3,508.3912932034575,0.0,0.0
2,1,1,562.9839344466674,0.0,0.0
2,1,2,391.21239973000036,0.0,0.0
2,1,3,524.8024895066665,0.0,0.0
2,2,1,0.0,0.0,0.0
2,2,2,0.0,0.0,0.0
2,2,3,0.0,0.0,0.0
2,3,1,519.5875037200002,3.08585638143148,0.0
2,3,2,361.06271911333374,0.0,0.0
2,3,3,484.36224876666677,0.0,0.0
3,1,1,547.8485787433344,0.0,0.0
3,1,2,380.7388440200009,0.0,0.0
3,1,3,510.7350837800008,0.0,0.0
3,2,1,0.0,0.0,0.0
3,2,2,0.0,0.0,0.0
3,2,3,0.0,0.0,0.0
3,3,1,490.4280626266762,3.2714603308748664,0.0
3,3,2,340.7690782733405,0.0,0.0
3,3,3,457.19470278000927,0.0,0.0
4,1,1,537.5180673666655,0.0,0.0
4,1,2,373.5226216966658,0.0,0.0
4,1,3,501.09215224666406,0.0,0.0
4,2,1,0.0,0.0,0.0
4,2,2,0.0,0.0,0.0
4,2,3,0.0,0.0,0.0
4,3,1,481.5513603133335,1.8123281119417212,0.0
4,3,2,334.6334102899992,0.0,0.0
4,3,3,448.90986029666647,0.0,0.0
5,1,1,537.9060114100008,0.0,0.0
5,1,2,373.76080098000085,0.0,0.0
5,1,3,501.3877713566674,0.0,0.0
5,2,1,0.0,0.0,0.0
5,2,2,0.0,0.0,0.0
5,2,3,0.0,0.0,0.0
5,3,1,472.9104501633248,1.8105188353424224,0.0
5,3,2,328.69832694332814,0.0,0.0
5,3,3,440.96641929332566,0.0,0.0
6,1,1,555.7446902299994,0.0,0.0
6,1,2,386.193435156666,0.0,0.0
6,1,3,518.057965139999,0.0,0.0
6,2,1,0.0,0.0,0.0
6,2,2,0.0,0.0,0.0
6,2,3,0.0,0.0,0.0
6,3,1,476.776316433342,2.854852836030029,0.0
6,3,2,331.320209183339,0.0,0.0
6,3,3,444.460282250007,0.0,0.0
7,1,1,580.5368712866672,0.0,0.0
