id,area,scenario,timestep,timestep_fractional,load,load_shedding,power_dumping
1,1,1,1,0.0,500.52,0.0,0.0
2,1,1,1,0.0167,501.35911802469144,0.0,1.1061728395177424e-5
3,1,1,1,0.0333,501.4291239506173,0.0,8.217283950703229e-5
4,1,1,1,0.05,500.96280000000013,0.0,0.00025600000000267764
5,1,1,1,0.0667,500.1606676543211,0.0,0.0005562469135860649
6,1,1,1,0.0833,499.1909876543211,0.0,0.0009876543209979844
7,1,1,1,0.1,498.18976000000004,0.0,0.0015360000000160657
8,1,1,1,0.1167,497.26072395061726,0.0,0.0021680987654547758
9,1,1,1,0.1333,496.4753580246914,0.0,0.0028318024691654205
10,1,1,1,0.15,495.87288000000007,0.0,0.003456000000036147
11,1,1,1,0.1667,495.46024691358025,0.0,0.003950617283991938
12,1,1,1,0.1833,495.21215506172837,0.0,0.004206617283994615
13,1,1,1,0.2,495.07104,0.0,0.004096000000042841
14,1,1,1,0.2167,494.94707654320985,0.0,0.0034718024691721147
15,1,1,1,0.2333,494.7181787654321,0.0,0.002168098765454775
16,1,1,1,0.25,494.23,0.0,0.0
17,1,1,1,0.2667,493.6941787654322,0.0,9.876543209923702e-8
18,1,1,1,0.2833,493.37992987654326,0.0,1.5802469135877923e-6
19,1,1,1,0.3,493.19840000000016,0.0,8.0000000000382e-6
20,1,1,1,0.3167,493.07583506172847,0.0,2.5283950617404677e-5
21,1,1,1,0.3333,492.95358024691365,0.0,6.172839506202312e-5
22,1,1,1,0.35,492.78808000000004,0.0,0.0001280000000006112
23,1,1,1,0.3667,492.5508780246913,0.0,0.0002371358024702681
24,1,1,1,0.3833,492.2286172839506,0.0,0.00040454320987847483
25,1,1,1,0.4,491.82304000000005,0.0,0.000648000000003094
26,1,1,1,0.4167,491.350987654321,0.0,0.00098765432099237
27,1,1,1,0.4333,490.84440098765435,0.0,0.0014460246913649288
28,1,1,1,0.45,490.35032,0.0,0.0020480000000097794
29,1,1,1,0.4667,489.9308839506173,0.0,0.002820839506186309
30,1,1,1,0.4833,489.66333135802466,0.0,0.0037941728395242897
31,1,1,1,0.5,489.64,0.0,0.005000000000023874
32,1,1,1,0.5167,489.60998696296303,0.0,0.0038162962962928256
33,1,1,1,0.5333,489.33723733333335,0.0,0.00298518518518247
34,1,1,1,0.55,488.93950400000006,0.0,0.002559999999997672
35,1,1,1,0.5667,488.51296474074087,0.0,0.0025585185185161923
36,1,1,1,0.5833,488.13222222222237,0.0,0.0029629629629602692
37,1,1,1,0.6,487.85030400000005,0.0,0.0037199999999966175
38,1,1,1,0.6167,487.6986625185185,0.0,0.004740740740736429
39,1,1,1,0.6333,487.68717511111106,0.0,0.005900740740735373
40,1,1,1,0.65,487.80414400000006,0.0,0.007039999999993597
41,1,1,1,0.6667,488.0162962962963,0.0,0.007962962962955723
42,1,1,1,0.6833,488.268784,0.0,0.008438518518510844
43,1,1,1,0.7,488.485184,0.0,0.008199999999992541
44,1,1,1,0.7167,488.567498074074,0.0,0.006945185185178868
45,1,1,1,0.7333,488.3961528888889,0.0,0.004336296296292352
46,1,1,1,0.75,487.83,0.0,0.0
47,1,1,1,0.7667,487.2293505185186,0.0,0.0
48,1,1,1,0.7833,486.9757564444445,0.0,0.0
49,1,1,1,0.8,486.9501920000001,0.0,0.0
50,1,1,1,0.8167,487.05288829629643,0.0,0.0
51,1,1,1,0.8333,487.2033333333334,0.0,0.0
52,1,1,1,0.85,487.3402720000001,0.0,0.0
53,1,1,1,0.8667,487.4217060740741,0.0,0.0
54,1,1,1,0.8833,487.42489422222224,0.0,0.0
55,1,1,1,0.9,487.3463520000001,0.0,0.0
56,1,1,1,0.9167,487.20185185185187,0.0,0.0
57,1,1,1,0.9333,487.0264231111111,0.0,0.0
58,1,1,1,0.95,486.874352,0.0,0.0
59,1,1,1,0.9667,486.8191816296296,0.0,0.0
60,1,1,1,0.9833,486.953712,0.0,0.0
61,1,1,1,1.0,487.39,0.0,0.0
62,1,1,2,1.0167,487.8072515555555,0.0,0.0021682962962943234
63,1,1,2,1.0333,487.88620859259265,0.0,0.003474962962959785
64,1,1,2,1.05,487.73521600000015,0.0,0.004111999999996171
65,1,1,2,1.0667,487.44600711111127,0.0,0.004257185185181027
66,1,1,2,1.0833,487.09370370370385,0.0,0.0040740740740696675
67,1,1,2,1.1,486.7368160000001,0.0,0.003711999999995169
68,1,1,2,1.1167,486.41724266666665,0.0,0.0033060740740683712
69,1,1,2,1.1333,486.1602708148149,0.0,0.0029771851851778785
70,1,1,2,1.15,485.974576,0.0,0.0028319999999900577
71,1,1,2,1.1667,485.8522222222222,0.0,0.0029629629629490395
72,1,1,2,1.1833,485.7686619259259,0.0,0.00344829629627672
73,1,1,2,1.2,485.682736,0.0,0.00435199999997276
74,1,1,2,1.2167,485.53667377777776,0.0,0.0057238518518145775
75,1,1,2,1.2333,485.25609303703703,0.0,0.007599407407357361
76,1,1,2,1.25,484.75,0.0,0.009999999999934062
77,1,1,2,1.2667,484.2272156049383,0.0,0.007588444444394408
78,1,1,2,1.2833,483.90018745679015,0.0,0.005643259259222049
79,1,1,2,1.3,483.68894400000016,0.0,0.00410399999997294
80,1,1,2,1.3167,483.52690153086434,0.0,0.002917333333314098
81,1,1,2,1.3333,483.36086419753093,0.0,0.002037037037023606
82,1,1,2,1.35,483.15102400000006,0.0,0.0014239999999906103
83,1,1,2,1.3667,482.8709607901235,0.0,0.0010462222222153237
84,1,1,2,1.3833,482.50764227160494,0.0,0.0008788148148090201
85,1,1,2,1.4,482.06142400000004,0.0,0.0009039999999940392
86,1,1,2,1.4167,481.5460493827161,0.0,0.0011111111111037845
87,1,1,2,1.4333,480.9886496790123,0.0,0.001496592592582724
88,1,1,2,1.45,480.429744,0.0,0.002063999999986391
89,1,1,2,1.4667,479.923239308642,0.0,0.002823999999981379
90,1,1,2,1.4833,479.5364304197531,0.0,0.003794370370345351
91,1,1,2,1.5,479.35,0.0,0.004999999999967031
