component;values;area;scenario;;values;;Diff = ;;;;
Day-ahead costs;8131.15;1;1;;8131.15;;0;;;;
up-activation cost;2852.22;1;1;;2086.37;;-765.85;;;;
down-activation cost;-2.37;1;1;;-2.46;;-0.09;;;;
Shedding;4829.33;1;1;;4095.33;;-734;;;;
Dumping;0;1;1;;0;;0;;;;
Water;0;1;1;;0;;0;;;;
Start;0;1;1;;0;;0;;;;
Day-ahead costs;8131.15;1;2;;8131.15;;0;;;;
up-activation cost;482.92;1;2;;494.39;;11.47;;;;
down-activation cost;-1514.81;1;2;;-1526.27;;-11.46;;;;
Shedding;0;1;2;;0;;0;;;;
Dumping;0;1;2;;0;;0;;;;
Water;0;1;2;;0;;0;;;;
Start;0;1;2;;0;;0;;;;
Day-ahead costs;8131.15;1;3;;8131.15;;0;;;;
up-activation cost;1675.82;1;3;;1350.5;;-325.32;;;;
down-activation cost;-86.51;1;3;;-257.93;;-171.42;;;;
Shedding;0;1;3;;0;;0;;;;
Dumping;0;1;3;;0;;0;;;;
Water;0;1;3;;0;;0;;;;
Start;0;1;3;;0;;0;;;;
Day-ahead costs;0;2;1;;0;;0;;;;
up-activation cost;0;2;1;;0;;0;;;;
down-activation cost;0;2;1;;0;;0;;;;
Shedding;0;2;1;;0;;0;;;;
Dumping;0;2;1;;0;;0;;;;
Water;0;2;1;;0;;0;;;;
Start;0;2;1;;0;;0;;;;
Day-ahead costs;0;2;2;;0;;0;;;;
up-activation cost;0;2;2;;0;;0;;;;
down-activation cost;0;2;2;;0;;0;;;;
Shedding;0;2;2;;0;;0;;;;
Dumping;0;2;2;;0;;0;;;;
Water;0;2;2;;0;;0;;;;
Start;0;2;2;;0;;0;;;;
Day-ahead costs;0;2;3;;0;;0;;;;
up-activation cost;0;2;3;;0;;0;;;;
down-activation cost;0;2;3;;0;;0;;;;
Shedding;0;2;3;;0;;0;;;;
Dumping;0;2;3;;0;;0;;;;
Water;0;2;3;;0;;0;;;;
Start;0;2;3;;0;;0;;;New;Old
Day-ahead costs;9961.98;3;1;;9961.98;;0;;fuel costs;12151.06;12696.93
up-activation cost;2720.51;3;1;;2801.05;;80.54;;water costs;12277.72;12776.79
down-activation cost;-531.43;3;1;;-66.1;;465.33;;;126.66;79.86
Shedding;3014;3;1;;3748;;734;;;;
Dumping;0;3;1;;0;;0;;;;
Water;12277.72;3;1;;12776.79;;499.07;;;;
Start;0;3;1;;0;;0;;;;
Day-ahead costs;9961.98;3;2;;9961.98;;0;;;;
up-activation cost;67.47;3;2;;32.67;;-34.8;;;;
down-activation cost;-2020.58;3;2;;-1985.78;;34.8;;;;
Shedding;0;3;2;;0;;0;;;;
Dumping;0;3;2;;0;;0;;;;
Water;8008.89;3;2;;7990.51;;-18.38;;;;
Start;0;3;2;;0;;0;;;;
Day-ahead costs;9961.98;3;3;;9961.98;;0;;;;
up-activation cost;2062.59;3;3;;2022.68;;-39.91;;;;
down-activation cost;-835.28;3;3;;-439.39;;395.89;;;;
Shedding;0;3;3;;0;;0;;;;
Dumping;0;3;3;;0;;0;;;;
Water;11186.81;3;3;;11500.01;;313.2;;;;
Start;0;3;3;;0;;0;;;;
Start;500;1;1;;500;;0;;;;
Start;0;2;1;;0;;0;;;;
Start;0;3;1;;0;;0;;;;
Start;500;1;2;;500;;0;;;;
Start;0;2;2;;0;;0;;;;
Start;0;3;2;;0;;0;;;;
Start;500;1;3;;500;;0;;;;
Start;0;2;3;;0;;0;;;;
Start;0;3;3;;0;;0;;;;
