id,timestep,timestep_fractional,frequency,frequncy_d
1,1,0.0,-2.0,0.0
2,1,0.1,-2.0000000000000004,0.0
3,1,0.2,-2.0000000000000004,0.0
4,1,0.3,-1.9999999999999998,0.0
5,1,0.4,-2.0,0.0
6,1,0.5,-2.0,0.0
7,1,0.6,-2.0,0.0
8,1,0.7,-2.0,0.0
9,1,0.8,-2.0,0.0
10,1,0.9,-2.0,0.0
11,1,1.0,-2.0,0.0
12,2,1.1,-2.0000000000000004,0.0
13,2,1.2,-2.0000000000000004,0.0
14,2,1.3,-1.9999999999999998,0.0
15,2,1.4,-2.0,0.0
16,2,1.5,-2.0,0.0
17,2,1.6,-2.0,0.0
18,2,1.7,-2.0,0.0
19,2,1.8,-2.0,0.0
20,2,1.9,-2.0,0.0
21,2,2.0,-2.0,0.0
22,3,2.1,-2.0000000000000004,0.0
23,3,2.2,-2.0000000000000004,0.0
24,3,2.3,-1.9999999999999998,0.0
25,3,2.4,-2.0,0.0
26,3,2.5,-2.0,0.0
27,3,2.6,-2.0,0.0
28,3,2.7,-2.0,0.0
29,3,2.8,-2.0,0.0
30,3,2.9,-2.0,0.0
31,3,3.0,-2.0,0.0
32,4,3.1,-2.0000000000000004,0.0
33,4,3.2,-2.0000000000000004,0.0
34,4,3.3,-1.9999999999999998,0.0
35,4,3.4,-2.0,0.0
36,4,3.5,-2.0,0.0
37,4,3.6,-2.0,0.0
38,4,3.7,-2.0,0.0
39,4,3.8,-2.0,0.0
40,4,3.9,-2.0,0.0
41,4,4.0,-2.0,0.0
42,5,4.1,-2.0000000000000004,0.0
43,5,4.2,-2.0000000000000004,0.0
44,5,4.3,-1.9999999999999998,0.0
45,5,4.4,-2.0,0.0
46,5,4.5,-2.0,0.0
47,5,4.6,-2.0,0.0
48,5,4.7,-2.0,0.0
49,5,4.8,-2.0,0.0
50,5,4.9,-2.0,0.0
51,5,5.0,-2.0,0.0
52,6,5.1,-2.0000000000000004,0.0
53,6,5.2,-2.0000000000000004,0.0
54,6,5.3,-1.9999999999999998,0.0
55,6,5.4,-2.0,0.0
56,6,5.5,-2.0,0.0
57,6,5.6,-2.0,0.0
58,6,5.7,-2.0,0.0
59,6,5.8,-2.0,0.0
60,6,5.9,-2.0,0.0
61,6,6.0,-2.0,0.0
62,7,6.1,-2.0000000000000004,0.0
63,7,6.2,-2.0000000000000004,0.0
64,7,6.3,-1.9999999999999998,0.0
65,7,6.4,-2.0,0.0
66,7,6.5,-2.0,0.0
67,7,6.6,-2.0,0.0
68,7,6.7,-2.0,0.0
69,7,6.8,-2.0,0.0
70,7,6.9,-2.0,0.0
71,7,7.0,-2.0,0.0
72,8,7.1,-2.0000000000000004,0.0
73,8,7.2,-2.0000000000000004,0.0
74,8,7.3,-1.9999999999999998,0.0
75,8,7.4,-2.0,0.0
76,8,7.5,-2.0,0.0
77,8,7.6,-2.0,0.0
78,8,7.7,-2.0,0.0
79,8,7.8,-2.0,0.0
80,8,7.9,-2.0,0.0
81,8,8.0,-2.0,0.0
82,9,8.1,-2.0000000000000004,0.0
83,9,8.2,-2.0000000000000004,0.0
84,9,8.3,-1.9999999999999998,0.0
85,9,8.4,-2.0,0.0
