timestep,plant_id,scenario,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume,volume_res
1,49900,1,104.59970649316476,0.0,0.0,104.44759534505734,104.59970649316476,-34.95675116590581,0.0
1,49900,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49900,3,78.69188238502512,0.0,0.0,78.58495034332445,78.69188238502512,-23.628265730942164,0.0
1,49901,1,1.6119972075190934,0.0,0.0,1.6119972075190934,1.6119972075190934,0.0,0.0
1,49901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49901,3,1.6119972075190934,0.0,0.0,1.6119972075190934,1.6119972075190934,0.0,0.0
1,49902,1,1.6119972075190934,0.0,0.0,0.0,1.6119972075190934,499.7328075521255,498.3904174343249
1,49902,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49902,3,1.6119972075190934,0.0,0.0,0.0,1.6119972075190934,499.7328075521255,498.3904174343249
1,49903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49903,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49905,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49905,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49905,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49906,1,102.83559813753817,0.0,0.0,43.7236769134365,102.83559813753817,174695.61914572478,174665.89532455552
1,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0,174725.0
1,49906,3,76.9729531358052,0.0,0.0,33.72367691343645,76.9729531358052,174700.8236955313,174681.7643408321
1,49907,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49907,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49907,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49908,1,10.0,0.0,0.0,0.0,10.0,9345.009990009989,9340.0
1,49908,2,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
1,49908,3,0.0,0.0,0.0,0.0,0.0,9350.0,9350.0
1,49911,1,0.0,0.0,0.0,0.0,0.0,18500.0,18500.0
1,49911,2,0.0,0.0,0.0,13.0,0.0,18506.487012987014,18513.0
1,49911,3,0.0,0.0,0.0,13.0,0.0,18506.487012987014,18513.0
1,49912,1,0.0,0.0,0.0,0.0,0.0,32500.0,32500.0
1,49912,2,0.0,0.0,0.0,0.0,0.0,32500.0,32500.0
1,49912,3,0.0,0.0,0.0,0.0,0.0,32500.0,32500.0
1,49913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49913,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49913,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49914,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49914,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49915,1,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0
1,49915,2,13.0,0.0,0.0,0.0,13.0,2993.512987012987,2987.0000000000005
1,49915,3,13.0,0.0,0.0,0.0,13.0,2993.512987012987,2987.0000000000005
1,49920,1,33.72367691343645,0.0,0.0,0.0,33.72367691343645,1982.6981157958296,1966.2712334435903
1,49920,2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0
1,49920,3,33.72367691343645,0.0,0.0,0.0,33.72367691343645,1982.6981157958296,1966.2712334435903
1,49921,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49921,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49921,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49922,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49922,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49922,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
1,49923,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49923,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49923,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49924,1,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
1,49924,2,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
1,49924,3,0.0,0.0,0.0,0.0,0.0,18650.0,18650.0
1,49925,1,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
1,49925,2,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
1,49925,3,0.0,0.0,0.0,0.0,0.0,291000.0,291000.0
1,49927,1,0.0,0.0,0.0,0.0,0.0,93500.0,93500.0
1,49927,2,0.0,0.0,0.0,0.0,0.0,93500.0,93500.0
1,49927,3,0.0,0.0,0.0,0.0,0.0,93500.0,93500.0
1,49928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49928,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49928,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49929,1,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
1,49929,2,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
1,49929,3,0.0,0.0,0.0,0.0,0.0,26000.0,26000.0
1,49930,1,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
1,49930,2,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
1,49930,3,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0
1,49931,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49931,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49931,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49900,1,119.59266070847364,0.0,0.0,119.90226328110394,119.59266070847364,-40.70018842845991,0.0
2,49900,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49900,3,83.5638744910124,0.0,0.0,83.77772718034647,83.5638744910124,-27.79001967303157,0.0
2,49901,1,15.53572144810703,0.0,0.0,15.535733128003164,15.53572144810703,-0.004332251825598992,0.0
2,49901,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49901,3,15.53572144810703,0.0,0.0,15.535733128003164,15.53572144810703,-0.004332251825598992,0.0
2,49902,1,15.535733128003164,0.0,0.0,0.0,15.535733128003164,491.47934408613577,482.8647662754541
2,49902,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49902,3,15.535733128003164,0.0,0.0,0.0,15.535733128003164,491.47934408613577,482.8647662754541
2,49903,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49903,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49903,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49904,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49904,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49904,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49905,1,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49905,2,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49905,3,0.0,0.0,0.0,0.0,0.0,500.0,500.0
2,49906,1,104.36654183299672,0.0,0.0,14.583094206841292,104.36654183299672,174622.4822667798,174576.12335732946
2,49906,2,0.0,0.0,0.0,0.0,0.0,174725.0,174725.0
2,49906,3,68.24200573223936,0.0,0.0,4.583094206841305,68.24200573223936,174650.52722605452,174618.11139718408
2,49907,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49907,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49907,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,49908,1,10.0,0.0,0.0,0.0,10.0,9335.005000000001,9330.0
