id,areas_fk,plant_id,timestep,b,discharge,spill,bypass,controlled_inflow,controlled_outflow
1,1,49900,1,0,170.38,0.0,0.0,-0.0,170.38
2,1,49900,1,1,0.0,0.0,0.0,65.38,0.0
3,1,49900,1,2,0.0,0.0,0.0,0.0,0.0
4,1,49900,1,3,0.0,0.0,0.0,105.0,0.0
5,1,49901,1,0,0.0,-0.0,0.0,0.0,-0.0
6,1,49901,1,1,0.0,0.0,0.0,0.0,0.0
7,1,49901,1,2,0.0,0.0,0.0,0.0,0.0
8,1,49901,1,3,0.0,0.0,0.0,0.0,0.0
9,1,49902,1,0,0.0,0.0,0.0,-0.0,0.0
10,1,49902,1,1,0.0,0.0,0.0,0.0,0.0
11,1,49902,1,2,0.0,0.0,0.0,0.0,0.0
12,1,49902,1,3,0.0,0.0,0.0,0.0,0.0
13,1,49903,1,0,0.0,-0.0,0.0,0.0,-0.0
14,1,49903,1,1,0.0,0.0,0.0,0.0,0.0
15,1,49903,1,2,0.0,0.0,0.0,0.0,0.0
16,1,49903,1,3,0.0,0.0,0.0,0.0,0.0
17,1,49904,1,0,0.0,0.0,0.0,0.0,0.0
18,1,49904,1,1,0.0,0.0,0.0,0.0,0.0
19,1,49904,1,2,0.0,0.0,0.0,0.0,0.0
20,1,49904,1,3,0.0,0.0,0.0,0.0,0.0
21,1,49905,1,0,0.0,0.0,0.0,1487.65,0.0
22,1,49905,1,1,0.0,0.0,0.0,0.0,0.0
23,1,49905,1,2,0.0,0.0,0.0,0.0,0.0
24,1,49905,1,3,0.0,0.0,0.0,0.0,0.0
25,1,49906,1,0,0.0,1487.65,0.0,0.0,1487.65
26,1,49906,1,1,65.38,0.0,0.0,0.0,65.38
27,1,49906,1,2,0.0,0.0,0.0,0.0,0.0
28,1,49906,1,3,105.0,0.0,0.0,-0.0,105.0
29,1,49907,1,0,0.0,-0.0,0.0,0.0,-0.0
30,1,49907,1,1,0.0,0.0,0.0,0.0,0.0
31,1,49907,1,2,0.0,0.0,0.0,0.0,0.0
32,1,49907,1,3,0.0,0.0,0.0,0.0,0.0
33,1,49908,1,0,0.0,0.0,0.0,0.0,0.0
34,1,49908,1,1,0.0,0.0,0.0,0.0,0.0
35,1,49908,1,2,0.0,0.0,0.0,0.0,0.0
36,1,49908,1,3,0.0,0.0,0.0,0.0,0.0
37,1,49911,1,0,0.0,0.0,0.0,0.0,0.0
38,1,49911,1,1,0.0,0.0,0.0,0.0,0.0
39,1,49911,1,2,0.0,0.0,0.0,0.0,0.0
40,1,49911,1,3,0.0,0.0,0.0,6.24,0.0
41,1,49912,1,0,0.0,0.0,0.0,0.0,0.0
42,1,49912,1,1,0.0,0.0,0.0,0.0,0.0
43,1,49912,1,2,0.0,0.0,0.0,0.0,0.0
44,1,49912,1,3,6.24,0.0,0.0,0.0,6.24
45,1,49913,1,0,0.0,0.0,0.0,0.0,0.0
46,1,49913,1,1,0.0,0.0,0.0,0.0,0.0
47,1,49913,1,2,0.0,0.0,0.0,0.0,0.0
48,1,49913,1,3,0.0,0.0,0.0,0.0,0.0
49,1,49914,1,0,0.0,0.0,0.0,0.0,0.0
50,1,49914,1,1,0.0,0.0,0.0,0.0,0.0
51,1,49914,1,2,0.0,0.0,0.0,0.0,0.0
52,1,49914,1,3,0.0,0.0,0.0,0.0,0.0
53,1,49915,1,0,0.0,0.0,0.0,0.0,0.0
54,1,49915,1,1,0.0,0.0,0.0,0.0,0.0
55,1,49915,1,2,0.0,0.0,0.0,0.0,0.0
56,1,49915,1,3,0.0,0.0,0.0,0.0,0.0
57,1,49920,1,0,0.0,0.0,0.0,0.0,0.0
58,1,49920,1,1,0.0,0.0,0.0,102.12,0.0
59,1,49920,1,2,0.0,0.0,0.0,0.0,0.0
60,1,49920,1,3,0.0,0.0,0.0,102.12,0.0
61,1,49921,1,0,0.0,0.0,0.0,0.0,0.0
62,1,49921,1,1,0.0,0.0,0.0,0.0,0.0
63,1,49921,1,2,0.0,0.0,0.0,0.0,0.0
64,1,49921,1,3,0.0,0.0,0.0,0.0,0.0
65,1,49922,1,0,0.0,0.0,0.0,-0.0,0.0
66,1,49922,1,1,102.12,0.0,0.0,0.0,102.12
67,1,49922,1,2,0.0,0.0,0.0,0.0,0.0
68,1,49922,1,3,102.12,0.0,0.0,0.0,102.12
69,1,49923,1,0,0.0,0.0,-0.0,-0.0,-0.0
70,1,49923,1,1,0.0,0.0,0.0,0.0,0.0
71,1,49923,1,2,0.0,0.0,0.0,0.0,0.0
72,1,49923,1,3,0.0,0.0,0.0,0.0,0.0
73,1,49924,1,0,0.0,0.0,0.0,0.0,0.0
74,1,49924,1,1,0.0,0.0,0.0,0.0,0.0
75,1,49924,1,2,0.0,0.0,0.0,0.0,0.0
76,1,49924,1,3,0.0,0.0,0.0,0.0,0.0
77,1,49925,1,0,0.0,0.0,0.0,0.0,0.0
78,1,49925,1,1,0.0,0.0,0.0,0.0,0.0
79,1,49925,1,2,0.0,0.0,0.0,0.0,0.0
80,1,49925,1,3,0.0,0.0,0.0,0.0,0.0
81,1,49927,1,0,0.0,0.0,0.0,0.0,0.0
82,1,49927,1,1,0.0,0.0,0.0,0.0,0.0
83,1,49927,1,2,0.0,0.0,0.0,0.0,0.0
84,1,49927,1,3,0.0,0.0,0.0,0.0,0.0
85,1,49928,1,0,0.0,0.0,0.0,0.0,0.0
86,1,49928,1,1,0.0,0.0,0.0,0.0,0.0
87,1,49928,1,2,0.0,0.0,0.0,0.0,0.0
88,1,49928,1,3,0.0,0.0,0.0,0.0,0.0
89,1,49929,1,0,0.0,0.0,0.0,0.0,0.0
90,1,49929,1,1,0.0,0.0,0.0,0.0,0.0
91,1,49929,1,2,0.0,0.0,0.0,0.0,0.0
92,1,49929,1,3,0.0,0.0,0.0,0.0,0.0
93,1,49930,1,0,0.0,0.0,0.0,0.0,0.0
94,1,49930,1,1,0.0,0.0,0.0,0.0,0.0
95,1,49930,1,2,0.0,0.0,0.0,0.0,0.0
96,1,49930,1,3,0.0,0.0,0.0,0.0,0.0
97,1,49931,1,0,-0.0,0.0,0.0,0.0,-0.0
98,1,49931,1,1,0.0,0.0,0.0,0.0,0.0
99,1,49931,1,2,0.0,0.0,0.0,0.0,0.0
100,1,49931,1,3,0.0,0.0,0.0,0.0,0.0
101,2,49900,2,0,519.61,0.0,0.0,82.77,519.61
