id,areas_fk,plant_id,timestep,b,scenario,area,fuel_type,production,up_activation,down_activation
1,1,1,1,0,1,1,Thermal,19.99,0.0,0.0
2,1,1,1,0,2,1,Thermal,8.0,0.0,11.99
3,1,1,1,0,3,1,Thermal,8.0,0.0,11.99
4,1,1,1,1,1,1,Thermal,19.99,0.0,0.0
5,1,1,1,1,2,1,Thermal,7.99,0.0,12.0
6,1,1,1,1,3,1,Thermal,7.99,0.0,12.0
7,1,1,1,2,1,1,Thermal,19.99,0.0,0.0
8,1,1,1,2,2,1,Thermal,8.02,0.0,11.97
9,1,1,1,2,3,1,Thermal,8.02,0.0,11.97
10,1,1,1,3,1,1,Thermal,19.99,0.0,0.0
11,1,1,1,3,2,1,Thermal,7.98,0.0,12.01
12,1,1,1,3,3,1,Thermal,7.98,0.0,12.01
13,1,1,1,4,1,1,Thermal,19.99,5.96,0.0
14,1,1,1,4,2,1,Thermal,8.02,0.0,6.01
15,1,1,1,4,3,1,Thermal,8.02,0.0,6.01
16,1,2,1,0,1,1,Thermal,19.99,11.98,0.0
17,1,2,1,0,2,1,Thermal,8.01,-0.0,0.0
18,1,2,1,0,3,1,Thermal,8.61,0.6,0.0
19,1,2,1,1,1,1,Thermal,9.56,1.59,0.0
20,1,2,1,1,2,1,Thermal,7.97,0.0,0.0
21,1,2,1,1,3,1,Thermal,7.97,-0.0,0.0
22,1,2,1,2,1,1,Thermal,19.99,11.93,0.0
23,1,2,1,2,2,1,Thermal,8.06,0.0,0.0
24,1,2,1,2,3,1,Thermal,8.06,0.0,0.0
25,1,2,1,3,1,1,Thermal,15.89,7.95,0.0
26,1,2,1,3,2,1,Thermal,7.94,0.0,0.0
27,1,2,1,3,3,1,Thermal,7.94,0.0,0.0
28,1,2,1,4,1,1,Thermal,17.94,9.9,0.0
29,1,2,1,4,2,1,Thermal,8.03,-0.0,0.0
30,1,2,1,4,3,1,Thermal,8.03,-0.0,0.0
31,1,3,1,0,1,1,Thermal,75.99,0.0,0.0
32,1,3,1,0,2,1,Thermal,75.99,0.0,0.0
33,1,3,1,0,3,1,Thermal,75.99,0.0,0.0
34,1,3,1,1,1,1,Thermal,75.99,0.0,0.0
35,1,3,1,1,2,1,Thermal,75.99,0.0,0.0
36,1,3,1,1,3,1,Thermal,75.99,0.0,0.0
37,1,3,1,2,1,1,Thermal,75.99,0.0,0.0
38,1,3,1,2,2,1,Thermal,75.99,0.0,0.0
39,1,3,1,2,3,1,Thermal,75.99,0.0,0.0
40,1,3,1,3,1,1,Thermal,75.99,0.0,0.0
41,1,3,1,3,2,1,Thermal,75.99,0.0,0.0
42,1,3,1,3,3,1,Thermal,75.99,0.0,0.0
43,1,3,1,4,1,1,Thermal,75.99,0.0,0.0
44,1,3,1,4,2,1,Thermal,75.99,0.0,0.0
45,1,3,1,4,3,1,Thermal,75.99,0.0,0.0
46,1,4,1,0,1,1,Thermal,75.99,0.0,0.0
47,1,4,1,0,2,1,Thermal,75.99,0.0,0.0
48,1,4,1,0,3,1,Thermal,75.99,0.0,0.0
49,1,4,1,1,1,1,Thermal,75.99,0.0,0.0
50,1,4,1,1,2,1,Thermal,75.99,0.0,0.0
51,1,4,1,1,3,1,Thermal,75.99,0.0,0.0
52,1,4,1,2,1,1,Thermal,75.99,0.0,0.0
53,1,4,1,2,2,1,Thermal,75.99,0.0,0.0
54,1,4,1,2,3,1,Thermal,75.99,0.0,0.0
55,1,4,1,3,1,1,Thermal,75.99,0.0,0.0
56,1,4,1,3,2,1,Thermal,75.99,0.0,0.0
57,1,4,1,3,3,1,Thermal,75.99,0.0,0.0
58,1,4,1,4,1,1,Thermal,75.99,0.0,0.0
59,1,4,1,4,2,1,Thermal,75.99,0.0,0.0
60,1,4,1,4,3,1,Thermal,75.99,0.0,0.0
61,1,5,1,0,1,1,Thermal,19.99,0.0,0.0
62,1,5,1,0,2,1,Thermal,8.0,0.0,11.99
63,1,5,1,0,3,1,Thermal,8.0,0.0,11.99
64,1,5,1,1,1,1,Thermal,19.99,0.0,0.0
65,1,5,1,1,2,1,Thermal,7.99,0.0,12.0
66,1,5,1,1,3,1,Thermal,7.99,0.0,12.0
67,1,5,1,2,1,1,Thermal,19.99,0.0,0.0
68,1,5,1,2,2,1,Thermal,8.02,0.0,11.97
69,1,5,1,2,3,1,Thermal,8.02,0.0,11.97
70,1,5,1,3,1,1,Thermal,19.99,0.0,0.0
71,1,5,1,3,2,1,Thermal,7.98,0.0,12.01
72,1,5,1,3,3,1,Thermal,7.98,0.0,12.01
73,1,5,1,4,1,1,Thermal,19.99,5.96,0.0
74,1,5,1,4,2,1,Thermal,8.02,0.0,6.01
75,1,5,1,4,3,1,Thermal,8.02,0.0,6.01
76,1,6,1,0,1,1,Thermal,19.99,0.0,-0.0
77,1,6,1,0,2,1,Thermal,7.88,0.0,12.11
78,1,6,1,0,3,1,Thermal,7.88,0.0,12.11
79,1,6,1,1,1,1,Thermal,19.99,0.0,-0.0
80,1,6,1,1,2,1,Thermal,8.59,0.0,11.4
81,1,6,1,1,3,1,Thermal,8.59,0.0,11.4
82,1,6,1,2,1,1,Thermal,19.99,0.0,-0.0
83,1,6,1,2,2,1,Thermal,6.43,0.0,13.56
84,1,6,1,2,3,1,Thermal,6.43,0.0,13.56
85,1,6,1,3,1,1,Thermal,10.55,0.0,9.44
86,1,6,1,3,2,1,Thermal,10.55,0.0,9.44
87,1,6,1,3,3,1,Thermal,10.55,0.0,9.44
88,1,6,1,4,1,1,Thermal,5.28,0.0,4.72
89,1,6,1,4,2,1,Thermal,5.28,0.0,4.72
90,1,6,1,4,3,1,Thermal,5.28,0.0,4.72
91,1,7,1,0,1,1,Thermal,75.99,0.0,0.0
92,1,7,1,0,2,1,Thermal,75.99,0.0,0.0
93,1,7,1,0,3,1,Thermal,75.99,0.0,0.0
94,1,7,1,1,1,1,Thermal,75.99,0.0,0.0
95,1,7,1,1,2,1,Thermal,75.99,0.0,0.0
96,1,7,1,1,3,1,Thermal,75.99,0.0,0.0
97,1,7,1,2,1,1,Thermal,75.99,0.0,0.0
98,1,7,1,2,2,1,Thermal,75.99,0.0,0.0
99,1,7,1,2,3,1,Thermal,75.99,0.0,0.0
100,1,7,1,3,1,1,Thermal,75.99,0.0,0.0
101,1,7,1,3,2,1,Thermal,75.99,0.0,0.0
102,1,7,1,3,3,1,Thermal,75.99,0.0,0.0
103,1,7,1,4,1,1,Thermal,75.99,0.0,0.0
104,1,7,1,4,2,1,Thermal,75.99,0.0,0.0
105,1,7,1,4,3,1,Thermal,75.99,0.0,0.0
106,1,8,1,0,1,1,Thermal,75.99,0.0,0.0
107,1,8,1,0,2,1,Thermal,75.99,0.0,0.0
108,1,8,1,0,3,1,Thermal,75.99,0.0,0.0
109,1,8,1,1,1,1,Thermal,75.99,0.0,0.0
110,1,8,1,1,2,1,Thermal,75.99,0.0,0.0
111,1,8,1,1,3,1,Thermal,75.99,0.0,0.0
112,1,8,1,2,1,1,Thermal,75.99,0.0,0.0
113,1,8,1,2,2,1,Thermal,75.99,0.0,0.0
114,1,8,1,2,3,1,Thermal,75.99,0.0,0.0
115,1,8,1,3,1,1,Thermal,75.99,0.0,0.0
116,1,8,1,3,2,1,Thermal,75.99,0.0,0.0
117,1,8,1,3,3,1,Thermal,75.99,0.0,0.0
118,1,8,1,4,1,1,Thermal,75.99,0.0,0.0
119,1,8,1,4,2,1,Thermal,75.99,0.0,0.0
120,1,8,1,4,3,1,Thermal,75.99,0.0,0.0
121,1,9,1,0,1,1,Thermal,354.99,0.0,0.0
122,1,9,1,0,2,1,Thermal,252.01,0.0,102.98
123,1,9,1,0,3,1,Thermal,354.99,0.0,0.0
124,1,9,1,1,1,1,Thermal,354.99,0.0,0.0
125,1,9,1,1,2,1,Thermal,232.56,0.0,122.43
126,1,9,1,1,3,1,Thermal,354.99,0.0,0.0
127,1,9,1,2,1,1,Thermal,354.99,0.0,0.0
128,1,9,1,2,2,1,Thermal,236.48,0.0,118.51
129,1,9,1,2,3,1,Thermal,354.99,0.0,0.0
130,1,9,1,3,1,1,Thermal,354.99,0.0,0.0
131,1,9,1,3,2,1,Thermal,243.05,0.0,111.94
132,1,9,1,3,3,1,Thermal,354.99,0.0,0.0
133,1,9,1,4,1,1,Thermal,354.99,0.0,0.0
134,1,9,1,4,2,1,Thermal,227.77,0.0,127.22
135,1,9,1,4,3,1,Thermal,354.99,0.0,0.0
136,1,10,1,0,1,1,Thermal,54.99,0.0,0.0
137,1,10,1,0,2,1,Thermal,54.99,0.0,0.0
138,1,10,1,0,3,1,Thermal,54.99,0.0,0.0
139,1,10,1,1,1,1,Thermal,54.99,0.0,0.0
140,1,10,1,1,2,1,Thermal,54.99,0.0,0.0
141,1,10,1,1,3,1,Thermal,54.99,0.0,0.0
142,1,10,1,2,1,1,Thermal,54.99,0.0,0.0
143,1,10,1,2,2,1,Thermal,54.99,0.0,0.0
144,1,10,1,2,3,1,Thermal,54.99,0.0,0.0
145,1,10,1,3,1,1,Thermal,54.99,0.0,0.0
146,1,10,1,3,2,1,Thermal,54.99,0.0,0.0
147,1,10,1,3,3,1,Thermal,54.99,0.0,0.0
148,1,10,1,4,1,1,Thermal,54.99,0.0,0.0
149,1,10,1,4,2,1,Thermal,54.99,0.0,0.0
150,1,10,1,4,3,1,Thermal,54.99,0.0,0.0
151,1,154,1,0,1,2,Wind,12.4,0.0,0.0
152,1,154,1,0,2,2,Wind,11.5,0.0,0.0
153,1,154,1,0,3,2,Wind,12.8,0.0,0.0
154,1,154,1,1,1,2,Wind,12.42,0.0,0.0
155,1,154,1,1,2,2,Wind,11.52,0.0,0.0
156,1,154,1,1,3,2,Wind,12.82,0.0,0.0
157,1,154,1,2,1,2,Wind,12.36,0.0,0.0
158,1,154,1,2,2,2,Wind,11.45,0.0,0.0
159,1,154,1,2,3,2,Wind,12.76,0.0,0.0
160,1,154,1,3,1,2,Wind,12.46,0.0,0.0
161,1,154,1,3,2,2,Wind,0.0,0.0,0.0
162,1,154,1,3,3,2,Wind,12.86,0.0,0.0
163,1,154,1,4,1,2,Wind,12.35,0.0,0.0
164,1,154,1,4,2,2,Wind,11.45,0.0,0.0
165,1,154,1,4,3,2,Wind,12.75,0.0,0.0
166,1,155,1,0,1,2,Wind,68.4,0.0,0.0
167,1,155,1,0,2,2,Wind,63.5,0.0,0.0
168,1,155,1,0,3,2,Wind,70.4,0.0,0.0
169,1,155,1,1,1,2,Wind,68.4,0.0,0.0
170,1,155,1,1,2,2,Wind,63.5,0.0,0.0
171,1,155,1,1,3,2,Wind,70.4,0.0,0.0
172,1,155,1,2,1,2,Wind,68.4,0.0,0.0
173,1,155,1,2,2,2,Wind,63.5,0.0,0.0
174,1,155,1,2,3,2,Wind,70.4,0.0,0.0
175,1,155,1,3,1,2,Wind,68.4,0.0,0.0
176,1,155,1,3,2,2,Wind,63.5,0.0,0.0
177,1,155,1,3,3,2,Wind,70.4,0.0,0.0
178,1,155,1,4,1,2,Wind,68.4,0.0,0.0
179,1,155,1,4,2,2,Wind,63.5,0.0,0.0
180,1,155,1,4,3,2,Wind,70.4,0.0,0.0
181,1,156,1,0,1,2,Wind,36.54,0.0,0.0
182,1,156,1,0,2,2,Wind,33.93,0.0,0.0
183,1,156,1,0,3,2,Wind,37.64,0.0,0.0
184,1,156,1,1,1,2,Wind,35.78,0.0,0.0
185,1,156,1,1,2,2,Wind,20.88,0.0,0.0
186,1,156,1,1,3,2,Wind,36.86,0.0,0.0
187,1,156,1,2,1,2,Wind,37.82,0.0,0.0
188,1,156,1,2,2,2,Wind,35.14,0.0,0.0
189,1,156,1,2,3,2,Wind,38.96,0.0,0.0
190,1,156,1,3,1,2,Wind,34.49,0.0,0.0
191,1,156,1,3,2,2,Wind,13.45,0.0,0.0
192,1,156,1,3,3,2,Wind,35.54,0.0,0.0
193,1,156,1,4,1,2,Wind,37.96,0.0,0.0
194,1,156,1,4,2,2,Wind,20.2,0.0,0.0
195,1,156,1,4,3,2,Wind,39.11,0.0,0.0
196,1,157,1,0,1,2,Wind,61.3,0.0,0.0
197,1,157,1,0,2,2,Wind,57.0,0.0,0.0
198,1,157,1,0,3,2,Wind,63.2,0.0,0.0
199,1,157,1,1,1,2,Wind,61.3,0.0,0.0
200,1,157,1,1,2,2,Wind,57.0,0.0,0.0
201,1,157,1,1,3,2,Wind,63.2,0.0,0.0
202,1,157,1,2,1,2,Wind,61.3,0.0,0.0
203,1,157,1,2,2,2,Wind,57.0,0.0,0.0
204,1,157,1,2,3,2,Wind,63.2,0.0,0.0
205,1,157,1,3,1,2,Wind,61.3,0.0,0.0
206,1,157,1,3,2,2,Wind,57.0,0.0,0.0
207,1,157,1,3,3,2,Wind,63.2,0.0,0.0
208,1,157,1,4,1,2,Wind,61.3,0.0,0.0
209,1,157,1,4,2,2,Wind,57.0,0.0,0.0
210,1,157,1,4,3,2,Wind,63.2,0.0,0.0
211,1,49900,1,0,1,3,Hydro,0.0,0.0,0.0
212,1,49900,1,0,2,3,Hydro,0.0,0.0,0.0
213,1,49900,1,0,3,3,Hydro,0.0,0.0,0.0
214,1,49900,1,1,1,3,Hydro,0.0,0.0,0.0
215,1,49900,1,1,2,3,Hydro,0.0,0.0,0.0
216,1,49900,1,1,3,3,Hydro,0.0,0.0,0.0
217,1,49900,1,2,1,3,Hydro,0.0,0.0,0.0
218,1,49900,1,2,2,3,Hydro,0.0,0.0,0.0
219,1,49900,1,2,3,3,Hydro,0.0,0.0,0.0
220,1,49900,1,3,1,3,Hydro,0.0,0.0,0.0
221,1,49900,1,3,2,3,Hydro,0.0,0.0,0.0
222,1,49900,1,3,3,3,Hydro,0.0,0.0,0.0
223,1,49900,1,4,1,3,Hydro,0.0,0.0,0.0
224,1,49900,1,4,2,3,Hydro,0.0,0.0,0.0
225,1,49900,1,4,3,3,Hydro,0.0,0.0,0.0
226,1,49901,1,0,1,3,Hydro,0.0,0.0,0.0
227,1,49901,1,0,2,3,Hydro,0.0,0.0,0.0
228,1,49901,1,0,3,3,Hydro,0.0,0.0,0.0
229,1,49901,1,1,1,3,Hydro,0.0,0.0,0.0
230,1,49901,1,1,2,3,Hydro,0.0,0.0,0.0
231,1,49901,1,1,3,3,Hydro,0.0,0.0,0.0
232,1,49901,1,2,1,3,Hydro,0.0,0.0,0.0
233,1,49901,1,2,2,3,Hydro,0.0,0.0,0.0
234,1,49901,1,2,3,3,Hydro,0.0,0.0,0.0
235,1,49901,1,3,1,3,Hydro,0.0,0.0,0.0
236,1,49901,1,3,2,3,Hydro,0.0,0.0,0.0
237,1,49901,1,3,3,3,Hydro,0.0,0.0,0.0
238,1,49901,1,4,1,3,Hydro,1.62,0.0,0.0
239,1,49901,1,4,2,3,Hydro,0.0,0.0,1.62
240,1,49901,1,4,3,3,Hydro,1.62,0.0,0.0
241,1,49902,1,0,1,3,Hydro,0.0,0.0,0.0
