timestep,line_id,scenario,transmission,area_from,area_to
1,1,1,9.61,1,2
1,1,2,28.68,1,2
1,1,3,9.22,1,2
1,2,1,0.0,2,1
1,2,2,0.0,2,1
1,2,3,0.0,2,1
1,3,1,200.0,1,3
1,3,2,200.0,1,3
1,3,3,199.52,1,3
1,4,1,0.0,3,1
1,4,2,0.0,3,1
1,4,3,0.0,3,1
1,5,1,188.13,2,3
1,5,2,182.8,2,3
1,5,3,193.14,2,3
1,6,1,0.0,3,2
1,6,2,0.0,3,2
1,6,3,0.0,3,2
2,1,1,6.95,1,2
2,1,2,13.63,1,2
2,1,3,12.08,1,2
2,2,1,0.0,2,1
2,2,2,0.0,2,1
2,2,3,0.0,2,1
2,3,1,197.81,1,3
2,3,2,188.84,1,3
2,3,3,200.0,1,3
2,4,1,0.0,3,1
2,4,2,0.0,3,1
2,4,3,0.0,3,1
2,5,1,188.58,2,3
2,5,2,175.88,2,3
2,5,3,197.0,2,3
2,6,1,0.0,3,2
2,6,2,0.0,3,2
2,6,3,0.0,3,2
3,1,1,0.0,1,2
3,1,2,6.42,1,2
3,1,3,6.19,1,2
3,2,1,0.0,2,1
3,2,2,0.0,2,1
3,2,3,0.0,2,1
3,3,1,172.08,1,3
3,3,2,170.92,1,3
3,3,3,199.41,1,3
3,4,1,0.0,3,1
3,4,2,0.0,3,1
3,4,3,0.0,3,1
3,5,1,184.82,2,3
3,5,2,173.3,2,3
3,5,3,196.64,2,3
3,6,1,0.0,3,2
3,6,2,0.0,3,2
3,6,3,0.0,3,2
4,1,1,0.0,1,2
4,1,2,6.42,1,2
4,1,3,7.41,1,2
4,2,1,0.0,2,1
4,2,2,0.0,2,1
4,2,3,0.0,2,1
4,3,1,176.42,1,3
4,3,2,159.36,1,3
4,3,3,200.0,1,3
4,4,1,0.0,3,1
4,4,2,0.0,3,1
4,4,3,0.0,3,1
4,5,1,188.2,2,3
4,5,2,178.66,2,3
4,5,3,200.0,2,3
4,6,1,0.0,3,2
4,6,2,0.0,3,2
4,6,3,0.0,3,2
5,1,1,0.0,1,2
5,1,2,4.3,1,2
5,1,3,1.3,1,2
5,2,1,0.0,2,1
5,2,2,0.0,2,1
5,2,3,0.0,2,1
5,3,1,176.04,1,3
5,3,2,150.03,1,3
5,3,3,199.54,1,3
5,4,1,0.0,3,1
5,4,2,0.0,3,1
5,4,3,0.0,3,1
5,5,1,194.39,2,3
5,5,2,181.99,2,3
5,5,3,200.0,2,3
5,6,1,0.0,3,2
5,6,2,0.0,3,2
5,6,3,0.0,3,2
6,1,1,0.0,1,2
6,1,2,9.56,1,2
6,1,3,0.0,1,2
6,2,1,0.0,2,1
6,2,2,0.0,2,1
6,2,3,3.94,2,1
6,3,1,158.2,1,3
6,3,2,147.24,1,3
6,3,3,196.86,1,3
6,4,1,0.0,3,1
6,4,2,0.0,3,1
6,4,3,0.0,3,1
6,5,1,197.86,2,3
6,5,2,187.43,2,3
6,5,3,200.0,2,3
6,6,1,0.0,3,2
6,6,2,0.0,3,2
6,6,3,0.0,3,2
7,1,1,0.0,1,2
7,1,2,0.0,1,2
7,1,3,0.0,1,2
7,2,1,0.0,2,1
7,2,2,0.0,2,1
7,2,3,3.68,2,1
7,3,1,133.41,1,3
7,3,2,169.56,1,3
7,3,3,176.45,1,3
7,4,1,0.0,3,1
7,4,2,0.0,3,1
7,4,3,0.0,3,1
7,5,1,197.69,2,3
7,5,2,178.54,2,3
7,5,3,200.0,2,3
7,6,1,0.0,3,2
7,6,2,0.0,3,2
7,6,3,0.0,3,2
8,1,1,0.0,1,2
8,1,2,7.8,1,2
8,1,3,1.22,1,2
8,2,1,0.0,2,1
8,2,2,0.0,2,1
8,2,3,0.0,2,1
8,3,1,145.17,1,3
8,3,2,183.33,1,3
8,3,3,181.93,1,3
8,4,1,0.0,3,1
8,4,2,0.0,3,1
8,4,3,0.0,3,1
8,5,1,194.01,2,3
8,5,2,165.51,2,3
8,5,3,198.46,2,3
8,6,1,0.0,3,2
8,6,2,0.0,3,2
8,6,3,0.0,3,2
9,1,1,17.63,1,2
9,1,2,16.89,1,2
9,1,3,9.46,1,2
9,2,1,0.0,2,1
9,2,2,0.0,2,1
9,2,3,0.0,2,1
9,3,1,185.03,1,3
9,3,2,193.37,1,3
9,3,3,198.25,1,3
9,4,1,0.0,3,1
9,4,2,0.0,3,1
9,4,3,0.0,3,1
9,5,1,193.63,2,3
9,5,2,169.31,2,3
9,5,3,196.58,2,3
9,6,1,0.0,3,2
9,6,2,0.0,3,2
9,6,3,0.0,3,2
10,1,1,16.57,1,2
10,1,2,28.78,1,2
10,1,3,9.36,1,2
10,2,1,0.0,2,1
10,2,2,0.0,2,1
10,2,3,0.0,2,1
10,3,1,193.7,1,3
10,3,2,189.11,1,3
10,3,3,198.25,1,3
10,4,1,0.0,3,1
10,4,2,0.0,3,1
10,4,3,0.0,3,1
10,5,1,196.2,2,3
10,5,2,189.22,2,3
10,5,3,197.31,2,3
10,6,1,0.0,3,2
10,6,2,0.0,3,2
10,6,3,0.0,3,2
11,1,1,16.87,1,2
11,1,2,32.25,1,2
11,1,3,14.59,1,2
11,2,1,0.0,2,1
11,2,2,0.0,2,1
11,2,3,0.0,2,1
11,3,1,200.0,1,3
11,3,2,194.79,1,3
11,3,3,200.0,1,3
11,4,1,0.0,3,1
11,4,2,0.0,3,1
11,4,3,0.0,3,1
11,5,1,195.62,2,3
11,5,2,193.24,2,3
11,5,3,200.0,2,3
11,6,1,0.0,3,2
11,6,2,0.0,3,2
11,6,3,0.0,3,2
12,1,1,20.34,1,2
12,1,2,29.44,1,2
12,1,3,15.92,1,2
12,2,1,0.0,2,1
12,2,2,0.0,2,1
12,2,3,0.0,2,1
12,3,1,200.0,1,3
12,3,2,197.3,1,3
12,3,3,200.0,1,3
12,4,1,0.0,3,1
12,4,2,0.0,3,1
12,4,3,0.0,3,1
12,5,1,198.77,2,3
12,5,2,191.48,2,3
12,5,3,200.0,2,3
12,6,1,0.0,3,2
12,6,2,0.0,3,2
12,6,3,0.0,3,2
13,1,1,19.08,1,2
13,1,2,28.96,1,2
13,1,3,16.19,1,2
13,2,1,0.0,2,1
13,2,2,0.0,2,1
13,2,3,0.0,2,1
13,3,1,200.0,1,3
13,3,2,196.44,1,3
13,3,3,200.0,1,3
13,4,1,0.0,3,1
13,4,2,0.0,3,1
13,4,3,0.0,3,1
13,5,1,197.37,2,3
13,5,2,193.5,2,3
13,5,3,200.0,2,3
13,6,1,0.0,3,2
13,6,2,0.0,3,2
13,6,3,0.0,3,2
14,1,1,21.91,1,2
14,1,2,37.68,1,2
14,1,3,17.46,1,2
14,2,1,0.0,2,1
14,2,2,0.0,2,1
14,2,3,0.0,2,1
14,3,1,200.0,1,3
14,3,2,200.0,1,3
14,3,3,200.0,1,3
14,4,1,0.0,3,1
14,4,2,0.0,3,1
14,4,3,0.0,3,1
14,5,1,196.5,2,3
14,5,2,193.6,2,3
14,5,3,200.0,2,3
14,6,1,0.0,3,2
14,6,2,0.0,3,2
14,6,3,0.0,3,2
15,1,1,23.02,1,2
15,1,2,47.54,1,2
15,1,3,15.13,1,2
15,2,1,0.0,2,1
15,2,2,0.0,2,1
15,2,3,0.0,2,1
15,3,1,192.9,1,3
15,3,2,197.84,1,3
15,3,3,197.38,1,3
15,4,1,0.0,3,1
15,4,2,0.0,3,1
15,4,3,0.0,3,1
15,5,1,195.31,2,3
15,5,2,194.51,2,3
15,5,3,196.4,2,3
15,6,1,0.0,3,2
15,6,2,0.0,3,2
15,6,3,0.0,3,2
16,1,1,27.05,1,2
16,1,2,75.4,1,2
16,1,3,18.87,1,2
16,2,1,0.0,2,1
16,2,2,0.0,2,1
16,2,3,0.0,2,1
16,3,1,188.46,1,3
16,3,2,192.46,1,3
16,3,3,199.44,1,3
16,4,1,0.0,3,1
16,4,2,0.0,3,1
16,4,3,0.0,3,1
16,5,1,189.97,2,3
16,5,2,200.0,2,3
16,5,3,192.71,2,3
16,6,1,0.0,3,2
16,6,2,0.0,3,2
16,6,3,0.0,3,2
17,1,1,0.0,1,2
17,1,2,48.46,1,2
17,1,3,0.0,1,2
17,2,1,0.0,2,1
17,2,2,0.0,2,1
17,2,3,0.0,2,1
17,3,1,112.62,1,3
17,3,2,184.21,1,3
17,3,3,139.44,1,3
17,4,1,0.0,3,1
17,4,2,0.0,3,1
17,4,3,0.0,3,1
17,5,1,173.63,2,3
17,5,2,176.08,2,3
17,5,3,178.93,2,3
17,6,1,0.0,3,2
17,6,2,0.0,3,2
17,6,3,0.0,3,2
18,1,1,0.0,1,2
18,1,2,11.79,1,2
18,1,3,0.0,1,2
18,2,1,17.31,2,1
18,2,2,0.0,2,1
18,2,3,5.05,2,1
18,3,1,12.7,1,3
18,3,2,73.69,1,3
18,3,3,22.68,1,3
18,4,1,0.0,3,1
18,4,2,0.0,3,1
18,4,3,0.0,3,1
18,5,1,155.12,2,3
18,5,2,171.85,2,3
18,5,3,172.67,2,3
18,6,1,0.0,3,2
18,6,2,0.0,3,2
18,6,3,0.0,3,2
19,1,1,0.0,1,2
19,1,2,8.2,1,2
19,1,3,0.0,1,2
19,2,1,40.07,2,1
19,2,2,0.0,2,1
19,2,3,16.2,2,1
19,3,1,0.0,1,3
19,3,2,36.27,1,3
19,3,3,0.0,1,3
19,4,1,0.0,3,1
19,4,2,0.0,3,1
19,4,3,0.0,3,1
19,5,1,131.15,2,3
19,5,2,166.82,2,3
19,5,3,160.32,2,3
19,6,1,0.0,3,2
19,6,2,0.0,3,2
19,6,3,0.0,3,2
20,1,1,0.0,1,2
20,1,2,18.69,1,2
20,1,3,0.0,1,2
20,2,1,40.08,2,1
20,2,2,0.0,2,1
20,2,3,12.18,2,1
20,3,1,0.0,1,3
20,3,2,30.58,1,3
20,3,3,0.0,1,3
20,4,1,0.0,3,1
20,4,2,0.0,3,1
20,4,3,0.0,3,1
20,5,1,129.89,2,3
20,5,2,173.96,2,3
20,5,3,163.01,2,3
20,6,1,0.0,3,2
20,6,2,0.0,3,2
20,6,3,0.0,3,2
21,1,1,0.0,1,2
21,1,2,18.13,1,2
21,1,3,0.0,1,2
21,2,1,24.18,2,1
21,2,2,0.0,2,1
21,2,3,4.47,2,1
21,3,1,0.0,1,3
21,3,2,41.78,1,3
21,3,3,0.98,1,3
21,4,1,0.0,3,1
21,4,2,0.0,3,1
21,4,3,0.0,3,1
21,5,1,146.26,2,3
21,5,2,175.19,2,3
21,5,3,171.27,2,3
21,6,1,0.0,3,2
21,6,2,0.0,3,2
21,6,3,0.0,3,2
22,1,1,0.0,1,2
22,1,2,33.95,1,2
22,1,3,0.0,1,2
22,2,1,4.98,2,1
22,2,2,0.0,2,1
22,2,3,0.0,2,1
22,3,1,1.83,1,3
22,3,2,81.13,1,3
22,3,3,19.6,1,3
22,4,1,0.0,3,1
22,4,2,0.0,3,1
22,4,3,0.0,3,1
22,5,1,164.32,2,3
22,5,2,171.26,2,3
22,5,3,174.42,2,3
22,6,1,0.0,3,2
22,6,2,0.0,3,2
22,6,3,0.0,3,2
23,1,1,0.0,1,2
23,1,2,31.63,1,2
23,1,3,0.0,1,2
23,2,1,0.0,2,1
23,2,2,0.0,2,1
23,2,3,0.0,2,1
23,3,1,29.3,1,3
23,3,2,99.54,1,3
23,3,3,59.39,1,3
23,4,1,0.0,3,1
23,4,2,0.0,3,1
23,4,3,0.0,3,1
23,5,1,166.33,2,3
23,5,2,171.9,2,3
23,5,3,171.33,2,3
23,6,1,0.0,3,2
23,6,2,0.0,3,2
23,6,3,0.0,3,2
24,1,1,0.0,1,2
24,1,2,22.38,1,2
24,1,3,0.0,1,2
24,2,1,0.0,2,1
24,2,2,0.0,2,1
24,2,3,0.0,2,1
24,3,1,70.49,1,3
24,3,2,174.36,1,3
24,3,3,103.09,1,3
24,4,1,0.0,3,1
24,4,2,0.0,3,1
24,4,3,0.0,3,1
24,5,1,161.34,2,3
24,5,2,163.44,2,3
24,5,3,166.14,2,3
24,6,1,0.0,3,2
24,6,2,0.0,3,2
24,6,3,0.0,3,2
