id,scenario,line_id,timestep,timestep_fractional,area_from,area_to,transmission
1,1,1,1,0.0,1,2,5.23
2,1,1,1,0.0167,1,2,5.29
3,1,1,1,0.0333,1,2,5.39
4,1,1,1,0.05,1,2,5.53
5,1,1,1,0.0667,1,2,5.71
6,1,1,1,0.0833,1,2,5.91
7,1,1,1,0.1,1,2,6.15
8,1,1,1,0.1167,1,2,6.4
9,1,1,1,0.1333,1,2,6.68
10,1,1,1,0.15,1,2,6.97
11,1,1,1,0.1667,1,2,7.28
12,1,1,1,0.1833,1,2,7.59
13,1,1,1,0.2,1,2,7.91
14,1,1,1,0.2167,1,2,8.24
15,1,1,1,0.2333,1,2,8.57
16,1,1,1,0.25,1,2,8.9
17,1,1,1,0.2667,1,2,9.23
18,1,1,1,0.2833,1,2,9.55
19,1,1,1,0.3,1,2,9.86
20,1,1,1,0.3167,1,2,10.17
21,1,1,1,0.3333,1,2,10.46
22,1,1,1,0.35,1,2,10.74
23,1,1,1,0.3667,1,2,11.0
24,1,1,1,0.3833,1,2,11.25
25,1,1,1,0.4,1,2,11.48
26,1,1,1,0.4167,1,2,11.69
27,1,1,1,0.4333,1,2,11.88
28,1,1,1,0.45,1,2,12.05
29,1,1,1,0.4667,1,2,12.2
30,1,1,1,0.4833,1,2,12.32
31,1,1,1,0.5,1,2,12.42
32,1,1,1,0.5167,1,2,12.5
33,1,1,1,0.5333,1,2,12.55
34,1,1,1,0.55,1,2,12.57
35,1,1,1,0.5667,1,2,12.57
36,1,1,1,0.5833,1,2,12.55
37,1,1,1,0.6,1,2,12.5
38,1,1,1,0.6167,1,2,12.42
39,1,1,1,0.6333,1,2,12.32
40,1,1,1,0.65,1,2,12.2
41,1,1,1,0.6667,1,2,12.05
42,1,1,1,0.6833,1,2,11.88
43,1,1,1,0.7,1,2,11.69
44,1,1,1,0.7167,1,2,11.48
45,1,1,1,0.7333,1,2,11.24
46,1,1,1,0.75,1,2,10.99
47,1,1,1,0.7667,1,2,10.72
48,1,1,1,0.7833,1,2,10.44
49,1,1,1,0.8,1,2,10.14
50,1,1,1,0.8167,1,2,9.82
51,1,1,1,0.8333,1,2,9.5
52,1,1,1,0.85,1,2,9.16
53,1,1,1,0.8667,1,2,8.82
54,1,1,1,0.8833,1,2,8.48
55,1,1,1,0.9,1,2,8.13
56,1,1,1,0.9167,1,2,7.78
57,1,1,1,0.9333,1,2,7.44
58,1,1,1,0.95,1,2,7.1
59,1,1,1,0.9667,1,2,6.76
60,1,1,1,0.9833,1,2,6.44
61,1,1,1,1.0,1,2,6.14
62,1,1,2,1.0167,1,2,5.85
63,1,1,2,1.0333,1,2,5.61
64,1,1,2,1.05,1,2,5.4
65,1,1,2,1.0667,1,2,5.23
66,1,1,2,1.0833,1,2,5.09
67,1,1,2,1.1,1,2,4.98
68,1,1,2,1.1167,1,2,4.9
69,1,1,2,1.1333,1,2,4.85
70,1,1,2,1.15,1,2,4.83
71,1,1,2,1.1667,1,2,4.84
72,1,1,2,1.1833,1,2,4.88
73,1,1,2,1.2,1,2,4.94
74,1,1,2,1.2167,1,2,5.03
75,1,1,2,1.2333,1,2,5.13
76,1,1,2,1.25,1,2,5.26
77,1,1,2,1.2667,1,2,5.41
78,1,1,2,1.2833,1,2,5.58
79,1,1,2,1.3,1,2,5.76
80,1,1,2,1.3167,1,2,5.96
81,1,1,2,1.3333,1,2,6.17
82,1,1,2,1.35,1,2,6.39
83,1,1,2,1.3667,1,2,6.62
84,1,1,2,1.3833,1,2,6.86
85,1,1,2,1.4,1,2,7.1
86,1,1,2,1.4167,1,2,7.35
87,1,1,2,1.4333,1,2,7.6
88,1,1,2,1.45,1,2,7.85
89,1,1,2,1.4667,1,2,8.09
90,1,1,2,1.4833,1,2,8.33
91,1,1,2,1.5,1,2,8.57
92,1,1,2,1.5167,1,2,8.8
93,1,1,2,1.5333,1,2,9.01
94,1,1,2,1.55,1,2,9.22
95,1,1,2,1.5667,1,2,9.4
96,1,1,2,1.5833,1,2,9.57
97,1,1,2,1.6,1,2,9.72
98,1,1,2,1.6167,1,2,9.85
99,1,1,2,1.6333,1,2,9.95
