component,values,area,scenario
Fuel,3148.0084749599996,1,0
Shedding,0.0,1,0
Dumping,0.0,1,0
Water,0.0,1,0
Start,600.0,1,0
Up-reserve,708.3098733600001,1,0
Down-reserve,606.33502503,1,0
Fuel,0.0,2,0
Shedding,0.0,2,0
Dumping,0.0,2,0
Water,0.0,2,0
Start,0.0,2,0
Up-reserve,0.0,2,0
Down-reserve,0.0,2,0
Fuel,0.0,3,0
Shedding,0.0,3,0
Dumping,0.0,3,0
Water,31360.517133773363,3,0
Start,0.0,3,0
Up-reserve,811.7358700000002,3,0
Down-reserve,458.05513,3,0
Fuel,3856.3183483199996,1,1
Shedding,17528.278098829982,1,1
Dumping,0.0,1,1
Water,0.0,1,1
Start,600.0,1,1
Up-reserve,708.3098733600001,1,1
Down-reserve,606.33502503,1,1
Fuel,0.0,2,1
Shedding,0.0,2,1
Dumping,0.0,2,1
Water,0.0,2,1
Start,0.0,2,1
Up-reserve,0.0,2,1
Down-reserve,0.0,2,1
Fuel,0.0,3,1
Shedding,10342.870000000019,3,1
Dumping,0.0,3,1
Water,40607.95123942043,3,1
Start,0.0,3,1
Up-reserve,811.7358700000002,3,1
Down-reserve,458.05513,3,1
Fuel,2541.67344993,1,2
Shedding,0.0,1,2
Dumping,0.0,1,2
Water,0.0,1,2
Start,600.0,1,2
Up-reserve,708.3098733600001,1,2
Down-reserve,606.33502503,1,2
Fuel,0.0,2,2
Shedding,0.0,2,2
Dumping,0.0,2,2
Water,0.0,2,2
Start,0.0,2,2
Up-reserve,0.0,2,2
Down-reserve,0.0,2,2
Fuel,0.0,3,2
Shedding,0.0,3,2
Dumping,0.0,3,2
Water,26629.15866356034,3,2
Start,0.0,3,2
Up-reserve,811.7358700000002,3,2
Down-reserve,458.05513,3,2
Fuel,3503.9891167799988,1,3
Shedding,0.0,1,3
Dumping,0.0,1,3
Water,0.0,1,3
Start,600.0,1,3
Up-reserve,708.3098733600001,1,3
Down-reserve,606.33502503,1,3
Fuel,0.0,2,3
Shedding,0.0,2,3
Dumping,0.0,2,3
Water,0.0,2,3
Start,0.0,2,3
Up-reserve,0.0,2,3
Down-reserve,0.0,2,3
Fuel,0.0,3,3
Shedding,0.0,3,3
Dumping,0.0,3,3
Water,36454.56553445314,3,3
Start,0.0,3,3
Up-reserve,811.7358700000002,3,3
Down-reserve,458.05513,3,3
Fuel,3061.0824613199993,1,4
Shedding,0.0,1,4
Dumping,0.0,1,4
Water,0.0,1,4
Start,600.0,1,4
Up-reserve,708.3098733600001,1,4
Down-reserve,606.33502503,1,4
Fuel,0.0,2,4
Shedding,0.0,2,4
Dumping,0.0,2,4
Water,0.0,2,4
Start,0.0,2,4
Up-reserve,0.0,2,4
Down-reserve,0.0,2,4
Fuel,0.0,3,4
Shedding,0.0,3,4
Dumping,0.0,3,4
Water,29970.0588020281,3,4
Start,0.0,3,4
Up-reserve,811.7358700000002,3,4
Down-reserve,458.05513,3,4
Fuel,2840.5584958199997,1,5
Shedding,0.0,1,5
Dumping,0.0,1,5
Water,0.0,1,5
Start,600.0,1,5
Up-reserve,708.3098733600001,1,5
Down-reserve,606.33502503,1,5
Fuel,0.0,2,5
Shedding,0.0,2,5
Dumping,0.0,2,5
Water,0.0,2,5
Start,0.0,2,5
Up-reserve,0.0,2,5
Down-reserve,0.0,2,5
Fuel,0.0,3,5
Shedding,0.0,3,5
Dumping,0.0,3,5
Water,28409.603226740895,3,5
Start,0.0,3,5
Up-reserve,811.7358700000002,3,5
Down-reserve,458.05513,3,5
Fuel,3318.1015604999993,1,6
Shedding,0.0,1,6
Dumping,0.0,1,6
Water,0.0,1,6
Start,600.0,1,6
Up-reserve,708.3098733600001,1,6
Down-reserve,606.33502503,1,6
Fuel,0.0,2,6
Shedding,0.0,2,6
Dumping,0.0,2,6
Water,0.0,2,6
Start,0.0,2,6
Up-reserve,0.0,2,6
Down-reserve,0.0,2,6
Fuel,0.0,3,6
Shedding,0.0,3,6
Dumping,0.0,3,6
Water,33453.472709670015,3,6
Start,0.0,3,6
Up-reserve,811.7358700000002,3,6
Down-reserve,458.05513,3,6
Fuel,3331.3686423599993,1,7
Shedding,0.0,1,7
Dumping,0.0,1,7
Water,0.0,1,7
Start,600.0,1,7
Up-reserve,708.3098733600001,1,7
Down-reserve,606.33502503,1,7
Fuel,0.0,2,7
Shedding,0.0,2,7
Dumping,0.0,2,7
