id,scenario,plant_id,timestep,discharge,spill,bypass,controlled_inflow,controlled_outflow,volume_res
0,1,49900,1,39.27875774293459,0.0,0.0,39.27875774293459,39.27875774293459,0.0
1,2,49900,1,4.361449864498644,0.0,0.0,4.361449864498644,4.361449864498644,0.0
2,3,49900,1,32.588378339140554,0.0,0.0,32.588378339140554,32.588378339140554,0.0
3,4,49900,1,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
4,5,49900,1,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
5,6,49900,1,27.591765873015888,0.0,0.0,27.591765873015888,27.591765873015888,0.0
6,7,49900,1,19.393631436314383,0.0,0.0,19.393631436314383,19.393631436314383,0.0
7,8,49900,1,32.588378339140554,0.0,0.0,32.588378339140554,32.588378339140554,0.0
8,9,49900,1,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
9,10,49900,1,8.532350948509494,0.0,0.0,8.532350948509494,8.532350948509494,0.0
10,1,49900,2,35.15772326502067,0.0,0.0,35.15772326502067,35.15772326502067,0.0
11,2,49900,2,4.467310298102986,0.0,0.0,4.467310298102986,4.467310298102986,0.0
12,3,49900,2,32.05635404568334,0.0,0.0,32.05635404568334,32.05635404568334,0.0
13,4,49900,2,12.6143292682927,0.0,0.0,12.6143292682927,12.6143292682927,0.0
14,5,49900,2,12.6143292682927,0.0,0.0,12.6143292682927,12.6143292682927,0.0
15,6,49900,2,27.123257839721244,0.0,0.0,27.123257839721244,27.123257839721244,0.0
16,7,49900,2,27.927797135114233,0.0,0.0,27.927797135114233,27.927797135114233,0.0
17,8,49900,2,32.05635404568334,0.0,0.0,32.05635404568334,32.05635404568334,0.0
18,9,49900,2,12.6143292682927,0.0,0.0,12.6143292682927,12.6143292682927,0.0
19,10,49900,2,8.595867208672091,0.0,0.0,8.595867208672091,8.595867208672091,0.0
20,1,49900,3,35.668955983914685,0.0,0.0,35.668955983914685,35.668955983914685,0.0
21,2,49900,3,8.627283853483705,0.0,0.0,8.627283853483705,8.627283853483705,0.0
22,3,49900,3,32.31314121176925,0.0,0.0,32.31314121176925,32.31314121176925,0.0
23,4,49900,3,19.255671387359037,0.0,0.0,19.255671387359037,19.255671387359037,0.0
24,5,49900,3,16.77853724101758,0.0,0.0,16.77853724101758,16.77853724101758,0.0
25,6,49900,3,27.422389179248917,0.0,0.0,27.422389179248917,27.422389179248917,0.0
26,7,49900,3,23.29953995104468,0.0,0.0,23.29953995104468,23.29953995104468,0.0
27,8,49900,3,32.31314121176925,0.0,0.0,32.31314121176925,32.31314121176925,0.0
28,9,49900,3,19.255671387359037,0.0,0.0,19.255671387359037,19.255671387359037,0.0
29,10,49900,3,12.713496590611069,0.0,0.0,12.713496590611069,12.713496590611069,0.0
30,1,49900,4,34.71689505201501,0.0,0.0,34.71689505201501,34.71689505201501,0.0
31,2,49900,4,4.721375338753385,0.0,0.0,4.721375338753385,4.721375338753385,0.0
32,3,49900,4,26.409852928777738,0.0,0.0,26.409852928777738,26.409852928777738,0.0
33,4,49900,4,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
34,5,49900,4,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
35,6,49900,4,18.27151084010838,0.0,0.0,18.27151084010838,18.27151084010838,0.0
36,7,49900,4,28.09989595431668,0.0,0.0,28.09989595431668,28.09989595431668,0.0
37,8,49900,4,23.077574525745245,0.0,0.0,23.077574525745245,23.077574525745245,0.0
38,9,49900,4,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
39,10,49900,4,8.722899728997284,0.0,0.0,8.722899728997284,8.722899728997284,0.0
40,1,49900,5,33.14662111448298,0.0,0.0,33.14662111448298,33.14662111448298,0.0
41,2,49900,5,4.742547425474244,0.0,0.0,4.742547425474244,4.742547425474244,0.0
42,3,49900,5,31.52895228416569,0.0,0.0,31.52895228416569,31.52895228416569,0.0
43,4,49900,5,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
44,5,49900,5,12.703252032520325,0.0,0.0,12.703252032520325,12.703252032520325,0.0
