id,scenario,plant_id,timestep,area,fuel_type,production,up_activation,down_activation
1,1,1,1,1,Thermal,0.0,0.0,0.0
2,2,1,1,1,Thermal,0.0,0.0,0.0
3,3,1,1,1,Thermal,0.0,0.0,0.0
4,4,1,1,1,Thermal,0.0,0.0,0.0
5,5,1,1,1,Thermal,0.0,0.0,0.0
6,6,1,1,1,Thermal,0.0,0.0,0.0
7,7,1,1,1,Thermal,0.0,0.0,0.0
8,8,1,1,1,Thermal,0.0,0.0,0.0
9,9,1,1,1,Thermal,0.0,0.0,0.0
10,10,1,1,1,Thermal,0.0,0.0,0.0
11,1,1,2,1,Thermal,0.0,0.0,0.0
12,2,1,2,1,Thermal,0.0,0.0,0.0
13,3,1,2,1,Thermal,0.0,0.0,0.0
14,4,1,2,1,Thermal,0.0,0.0,0.0
15,5,1,2,1,Thermal,0.0,0.0,0.0
16,6,1,2,1,Thermal,0.0,0.0,0.0
17,7,1,2,1,Thermal,0.0,0.0,0.0
18,8,1,2,1,Thermal,0.0,0.0,0.0
19,9,1,2,1,Thermal,0.0,0.0,0.0
20,10,1,2,1,Thermal,0.0,0.0,0.0
21,1,1,3,1,Thermal,0.0,0.0,0.0
22,2,1,3,1,Thermal,0.0,0.0,0.0
23,3,1,3,1,Thermal,0.0,0.0,0.0
24,4,1,3,1,Thermal,0.0,0.0,0.0
25,5,1,3,1,Thermal,0.0,0.0,0.0
26,6,1,3,1,Thermal,0.0,0.0,0.0
27,7,1,3,1,Thermal,0.0,0.0,0.0
28,8,1,3,1,Thermal,0.0,0.0,0.0
29,9,1,3,1,Thermal,0.0,0.0,0.0
30,10,1,3,1,Thermal,0.0,0.0,0.0
31,1,1,4,1,Thermal,0.0,0.0,0.0
32,2,1,4,1,Thermal,0.0,0.0,0.0
33,3,1,4,1,Thermal,0.0,0.0,0.0
34,4,1,4,1,Thermal,0.0,0.0,0.0
35,5,1,4,1,Thermal,0.0,0.0,0.0
36,6,1,4,1,Thermal,0.0,0.0,0.0
37,7,1,4,1,Thermal,0.0,0.0,0.0
38,8,1,4,1,Thermal,0.0,0.0,0.0
39,9,1,4,1,Thermal,0.0,0.0,0.0
40,10,1,4,1,Thermal,0.0,0.0,0.0
41,1,1,5,1,Thermal,0.0,0.0,0.0
42,2,1,5,1,Thermal,0.0,0.0,0.0
43,3,1,5,1,Thermal,0.0,0.0,0.0
44,4,1,5,1,Thermal,0.0,0.0,0.0
45,5,1,5,1,Thermal,0.0,0.0,0.0
46,6,1,5,1,Thermal,0.0,0.0,0.0
47,7,1,5,1,Thermal,0.0,0.0,0.0
48,8,1,5,1,Thermal,0.0,0.0,0.0
49,9,1,5,1,Thermal,0.0,0.0,0.0
50,10,1,5,1,Thermal,0.0,0.0,0.0
51,1,1,6,1,Thermal,0.0,0.0,0.0
52,2,1,6,1,Thermal,0.0,0.0,0.0
53,3,1,6,1,Thermal,0.0,0.0,0.0
54,4,1,6,1,Thermal,0.0,0.0,0.0
55,5,1,6,1,Thermal,0.0,0.0,0.0
56,6,1,6,1,Thermal,0.0,0.0,0.0
57,7,1,6,1,Thermal,0.0,0.0,0.0
58,8,1,6,1,Thermal,0.0,0.0,0.0
59,9,1,6,1,Thermal,0.0,0.0,0.0
60,10,1,6,1,Thermal,0.0,0.0,0.0
61,1,1,7,1,Thermal,0.0,0.0,0.0
62,2,1,7,1,Thermal,0.0,0.0,0.0
63,3,1,7,1,Thermal,0.0,0.0,0.0
64,4,1,7,1,Thermal,0.0,0.0,0.0
65,5,1,7,1,Thermal,0.0,0.0,0.0
66,6,1,7,1,Thermal,0.0,0.0,0.0
67,7,1,7,1,Thermal,0.0,0.0,0.0
68,8,1,7,1,Thermal,0.0,0.0,0.0
69,9,1,7,1,Thermal,0.0,0.0,0.0
70,10,1,7,1,Thermal,0.0,0.0,0.0
71,1,1,8,1,Thermal,0.0,0.0,0.0
72,2,1,8,1,Thermal,0.0,0.0,0.0
73,3,1,8,1,Thermal,0.0,0.0,0.0
74,4,1,8,1,Thermal,0.0,0.0,0.0
75,5,1,8,1,Thermal,0.0,0.0,0.0
76,6,1,8,1,Thermal,0.0,0.0,0.0
77,7,1,8,1,Thermal,0.0,0.0,0.0
78,8,1,8,1,Thermal,0.0,0.0,0.0
79,9,1,8,1,Thermal,0.0,0.0,0.0
80,10,1,8,1,Thermal,0.0,0.0,0.0
81,1,1,9,1,Thermal,0.0,0.0,0.0
82,2,1,9,1,Thermal,0.0,0.0,0.0
83,3,1,9,1,Thermal,0.0,0.0,0.0
84,4,1,9,1,Thermal,0.0,0.0,0.0
85,5,1,9,1,Thermal,0.0,0.0,0.0
86,6,1,9,1,Thermal,0.0,0.0,0.0
87,7,1,9,1,Thermal,0.0,0.0,0.0
88,8,1,9,1,Thermal,0.0,0.0,0.0
89,9,1,9,1,Thermal,0.0,0.0,0.0
90,10,1,9,1,Thermal,0.0,0.0,0.0
91,1,1,10,1,Thermal,0.0,0.0,0.0
92,2,1,10,1,Thermal,0.0,0.0,0.0
93,3,1,10,1,Thermal,0.0,0.0,0.0
94,4,1,10,1,Thermal,0.0,0.0,0.0
95,5,1,10,1,Thermal,0.0,0.0,0.0
96,6,1,10,1,Thermal,0.0,0.0,0.0
97,7,1,10,1,Thermal,0.0,0.0,0.0
98,8,1,10,1,Thermal,0.0,0.0,0.0
99,9,1,10,1,Thermal,0.0,0.0,0.0
100,10,1,10,1,Thermal,0.0,0.0,0.0
101,1,1,11,1,Thermal,0.0,0.0,0.0
102,2,1,11,1,Thermal,0.0,0.0,0.0
103,3,1,11,1,Thermal,0.0,0.0,0.0
104,4,1,11,1,Thermal,0.0,0.0,0.0
105,5,1,11,1,Thermal,0.0,0.0,0.0
106,6,1,11,1,Thermal,0.0,0.0,0.0
107,7,1,11,1,Thermal,0.0,0.0,0.0
108,8,1,11,1,Thermal,0.0,0.0,0.0
109,9,1,11,1,Thermal,0.0,0.0,0.0
110,10,1,11,1,Thermal,0.0,0.0,0.0
111,1,1,12,1,Thermal,0.0,0.0,0.0
