id,scenario,line_id,timestep,area_from,area_to,transmission
1,0,1,1,1,2,0.0
2,1,1,1,1,2,0.0
3,2,1,1,1,2,0.0
4,3,1,1,1,2,0.0
5,4,1,1,1,2,0.0
6,5,1,1,1,2,0.0
7,6,1,1,1,2,0.0
8,7,1,1,1,2,0.0
9,8,1,1,1,2,0.0
10,9,1,1,1,2,0.0
11,10,1,1,1,2,0.0
12,0,1,2,1,2,0.0
13,1,1,2,1,2,0.0
14,2,1,2,1,2,0.0
15,3,1,2,1,2,0.0
16,4,1,2,1,2,0.0
17,5,1,2,1,2,0.0
18,6,1,2,1,2,0.0
19,7,1,2,1,2,0.0
20,8,1,2,1,2,0.0
21,9,1,2,1,2,0.0
22,10,1,2,1,2,0.0
23,0,1,3,1,2,0.0
24,1,1,3,1,2,0.0
25,2,1,3,1,2,0.0
26,3,1,3,1,2,0.0
27,4,1,3,1,2,0.0
28,5,1,3,1,2,0.0
29,6,1,3,1,2,0.0
30,7,1,3,1,2,0.0
31,8,1,3,1,2,0.0
32,9,1,3,1,2,0.0
33,10,1,3,1,2,0.0
34,0,1,4,1,2,0.0
35,1,1,4,1,2,0.0
36,2,1,4,1,2,0.0
37,3,1,4,1,2,0.0
38,4,1,4,1,2,0.0
39,5,1,4,1,2,0.0
40,6,1,4,1,2,0.0
41,7,1,4,1,2,0.0
42,8,1,4,1,2,0.0
43,9,1,4,1,2,0.0
44,10,1,4,1,2,0.0
45,0,1,5,1,2,0.0
46,1,1,5,1,2,0.0
47,2,1,5,1,2,0.0
48,3,1,5,1,2,0.0
49,4,1,5,1,2,0.0
50,5,1,5,1,2,0.0
51,6,1,5,1,2,0.0
52,7,1,5,1,2,0.0
53,8,1,5,1,2,0.0
54,9,1,5,1,2,0.0
55,10,1,5,1,2,0.0
56,0,1,6,1,2,0.0
57,1,1,6,1,2,0.0
58,2,1,6,1,2,0.0
59,3,1,6,1,2,0.0
60,4,1,6,1,2,0.0
61,5,1,6,1,2,0.0
62,6,1,6,1,2,0.0
63,7,1,6,1,2,0.0
64,8,1,6,1,2,0.0
65,9,1,6,1,2,0.0
66,10,1,6,1,2,0.0
67,0,1,7,1,2,0.0
68,1,1,7,1,2,0.0
69,2,1,7,1,2,0.0
70,3,1,7,1,2,0.0
71,4,1,7,1,2,0.0
72,5,1,7,1,2,0.0
73,6,1,7,1,2,0.0
74,7,1,7,1,2,0.0
75,8,1,7,1,2,0.0
76,9,1,7,1,2,0.0
77,10,1,7,1,2,0.0
78,0,1,8,1,2,0.0
79,1,1,8,1,2,0.0
80,2,1,8,1,2,1.7053025658242404e-13
81,3,1,8,1,2,0.0
82,4,1,8,1,2,0.0
83,5,1,8,1,2,0.0
84,6,1,8,1,2,0.0
85,7,1,8,1,2,0.0
86,8,1,8,1,2,0.0
87,9,1,8,1,2,0.0
88,10,1,8,1,2,0.0
89,0,1,9,1,2,0.0
90,1,1,9,1,2,0.0
91,2,1,9,1,2,0.0
92,3,1,9,1,2,0.0
93,4,1,9,1,2,0.0
94,5,1,9,1,2,0.0
95,6,1,9,1,2,0.0
96,7,1,9,1,2,0.0
97,8,1,9,1,2,0.0
98,9,1,9,1,2,0.0
99,10,1,9,1,2,0.0
100,0,1,10,1,2,0.0
101,1,1,10,1,2,0.0
102,2,1,10,1,2,0.0
103,3,1,10,1,2,0.0
104,4,1,10,1,2,0.0
105,5,1,10,1,2,0.0
106,6,1,10,1,2,0.0
107,7,1,10,1,2,0.0
108,8,1,10,1,2,0.0
109,9,1,10,1,2,0.0
110,10,1,10,1,2,0.0
111,0,1,11,1,2,0.0
112,1,1,11,1,2,0.0
113,2,1,11,1,2,0.0
