load,timestep,area,scenario,timestep_fractional
424.7,1,1,0,0.0
424.7,1,1,0,0.0167
424.7,1,1,0,0.0333
424.7,1,1,0,0.05
424.7,1,1,0,0.0667
424.7,1,1,0,0.0833
421.1,2,1,0,0.1
421.1,2,1,0,0.1167
421.1,2,1,0,0.1333
421.1,2,1,0,0.15
421.1,2,1,0,0.1667
419.50000000000006,3,1,0,0.1833
419.50000000000006,3,1,0,0.2
419.50000000000006,3,1,0,0.2167
419.50000000000006,3,1,0,0.2333
419.50000000000006,3,1,0,0.25
418.00000000000006,4,1,0,0.2667
418.00000000000006,4,1,0,0.2833
418.00000000000006,4,1,0,0.3
418.00000000000006,4,1,0,0.3167
418.00000000000006,4,1,0,0.3333
417.3,5,1,0,0.35
417.3,5,1,0,0.3667
417.3,5,1,0,0.3833
417.3,5,1,0,0.4
417.3,5,1,0,0.4167
415.3,6,1,0,0.4333
415.3,6,1,0,0.45
415.3,6,1,0,0.4667
415.3,6,1,0,0.4833
415.3,6,1,0,0.5
414.6000000000001,7,1,0,0.5167
414.6000000000001,7,1,0,0.5333
414.6000000000001,7,1,0,0.55
414.6000000000001,7,1,0,0.5667
414.6000000000001,7,1,0,0.5833
413.30000000000007,8,1,0,0.6
413.30000000000007,8,1,0,0.6167
413.30000000000007,8,1,0,0.6333
413.30000000000007,8,1,0,0.65
413.30000000000007,8,1,0,0.6667
414.0,9,1,0,0.6833
414.0,9,1,0,0.7
414.0,9,1,0,0.7167
414.0,9,1,0,0.7333
414.0,9,1,0,0.75
412.7,10,1,0,0.7667
412.7,10,1,0,0.7833
412.7,10,1,0,0.8
412.7,10,1,0,0.8167
412.7,10,1,0,0.8333
413.0,11,1,0,0.85
413.0,11,1,0,0.8667
413.0,11,1,0,0.8833
413.0,11,1,0,0.9
413.0,11,1,0,0.9167
412.6,12,1,0,0.9333
412.6,12,1,0,0.95
412.6,12,1,0,0.9667
412.6,12,1,0,0.9833
412.6,12,1,0,1.0
413.4,13,1,0,1.0167
413.4,13,1,0,1.0333
413.4,13,1,0,1.05
413.4,13,1,0,1.0667
413.4,13,1,0,1.0833
412.1,14,1,0,1.1
412.1,14,1,0,1.1167
412.1,14,1,0,1.1333
412.1,14,1,0,1.15
412.1,14,1,0,1.1667
411.5,15,1,0,1.1833
411.5,15,1,0,1.2
411.5,15,1,0,1.2167
411.5,15,1,0,1.2333
411.5,15,1,0,1.25
410.0,16,1,0,1.2667
410.0,16,1,0,1.2833
410.0,16,1,0,1.3
410.0,16,1,0,1.3167
410.0,16,1,0,1.3333
409.1,17,1,0,1.35
409.1,17,1,0,1.3667
409.1,17,1,0,1.3833
409.1,17,1,0,1.4
