id,scenario,area,timestep,load,load_shedding,power_dumping
1,0,1,1,498.0,0.0,266.0
2,1,1,1,587.6,0.0,0.0
3,2,1,1,408.3,0.0,0.0
4,3,1,1,547.8,0.0,0.0
5,0,1,2,493.8,0.0,270.20000000000005
6,1,1,2,582.6,0.0,0.0
7,2,1,2,404.9,0.0,0.0
8,3,1,2,543.1,0.0,0.0
9,0,1,3,491.9,0.0,272.1
10,1,1,3,580.4,0.0,0.0
11,2,1,3,403.3,0.0,0.0
12,3,1,3,541.0,0.0,0.0
13,0,1,4,490.1,0.0,273.9
14,1,1,4,578.3,0.0,0.0
15,2,1,4,401.9,0.0,0.0
16,3,1,4,539.1,0.0,0.0
17,0,1,5,489.2,0.0,274.80000000000007
18,1,1,5,577.3,0.0,0.0
19,2,1,5,401.2,0.0,0.0
20,3,1,5,538.1,0.0,0.0
21,0,1,6,486.9,0.0,277.1
22,1,1,6,574.6,0.0,0.0
23,2,1,6,399.3,0.0,0.0
24,3,1,6,535.6,0.0,0.0
25,0,1,7,486.1,0.0,277.9
26,1,1,7,573.6,0.0,0.0
27,2,1,7,398.6,0.0,0.0
28,3,1,7,534.7,0.0,0.0
29,0,1,8,484.6,0.0,253.40000000000003
30,1,1,8,571.8,0.0,0.0
31,2,1,8,397.4,0.0,0.0
32,3,1,8,533.1,0.0,0.0
33,0,1,9,485.4,0.0,252.60000000000002
34,1,1,9,572.8,0.0,0.0
35,2,1,9,398.0,0.0,0.0
36,3,1,9,533.9,0.0,0.0
37,0,1,10,483.8,0.0,260.20000000000005
38,1,1,10,570.9,0.0,0.0
39,2,1,10,396.8,0.0,0.0
40,3,1,10,532.2,0.0,0.0
41,0,1,11,484.2,0.0,259.80000000000007
42,1,1,11,571.4,0.0,0.0
43,2,1,11,397.1,0.0,0.0
44,3,1,11,532.7,0.0,0.0
45,0,1,12,483.7,0.0,260.30000000000007
46,1,1,12,570.8,0.0,0.0
47,2,1,12,396.7,0.0,0.0
48,3,1,12,532.1,0.0,0.0
49,0,1,13,484.7,0.0,256.41919191919203
50,1,1,13,571.9,0.0,0.0
51,2,1,13,397.4,0.0,0.0
52,3,1,13,533.2,0.0,0.0
53,0,1,14,483.2,0.0,255.00707070707068
54,1,1,14,570.2,0.0,0.0
55,2,1,14,396.2,0.0,0.0
56,3,1,14,531.5,0.0,0.0
57,0,1,15,482.5,0.0,253.80399999999997
58,1,1,15,569.3,0.0,0.0
59,2,1,15,395.6,0.0,0.0
60,3,1,15,530.7,0.0,0.0
61,0,1,16,480.7,0.0,252.5159999999999
62,1,1,16,567.3,0.0,0.0
63,2,1,16,394.2,0.0,0.0
64,3,1,16,528.8,0.0,0.0
65,0,1,17,479.6,0.0,251.22799999999995
66,1,1,17,566.0,0.0,0.0
67,2,1,17,393.3,0.0,0.0
68,3,1,17,527.6,0.0,0.0
69,0,1,18,477.0,0.0,243.74
70,1,1,18,562.8,0.0,0.0
71,2,1,18,391.1,0.0,0.0
72,3,1,18,524.7,0.0,0.0
73,0,1,19,476.1,0.0,249.64
74,1,1,19,561.8,0.0,0.0
75,2,1,19,390.4,0.0,0.0
76,3,1,19,523.7,0.0,0.0
77,0,1,20,474.5,0.0,250.72699999999998
78,1,1,20,559.9,0.0,0.0
79,2,1,20,389.1,0.0,0.0
80,3,1,20,521.9,0.0,0.0
