scenario;area;timestep;load;timestep_fractional
0;1;1;498;0
0;1;1;498;0.0167
0;1;1;498;0.0333
0;1;1;498;0.05
0;1;1;498;0.0667
0;1;1;498;0.0833
0;1;2;493.8;0.1
0;1;2;493.8;0.1167
0;1;2;493.8;0.1333
0;1;2;493.8;0.15
0;1;2;493.8;0.1667
0;1;3;491.9;0.1833
0;1;3;491.9;0.2
0;1;3;491.9;0.2167
0;1;3;491.9;0.2333
0;1;3;491.9;0.25
0;1;4;490.1;0.2667
0;1;4;490.1;0.2833
0;1;4;490.1;0.3
0;1;4;490.1;0.3167
0;1;4;490.1;0.3333
0;1;5;489.2;0.35
0;1;5;489.2;0.3667
0;1;5;489.2;0.3833
0;1;5;489.2;0.4
0;1;5;489.2;0.4167
0;1;6;486.9;0.4333
0;1;6;486.9;0.45
0;1;6;486.9;0.4667
0;1;6;486.9;0.4833
0;1;6;486.9;0.5
0;1;7;486.1;0.5167
0;1;7;486.1;0.5333
0;1;7;486.1;0.55
0;1;7;486.1;0.5667
0;1;7;486.1;0.5833
0;1;8;484.6;0.6
0;1;8;484.6;0.6167
0;1;8;484.6;0.6333
0;1;8;484.6;0.65
0;1;8;484.6;0.6667
0;1;9;485.4;0.6833
0;1;9;485.4;0.7
0;1;9;485.4;0.7167
0;1;9;485.4;0.7333
0;1;9;485.4;0.75
0;1;10;483.8;0.7667
0;1;10;483.8;0.7833
0;1;10;483.8;0.8
0;1;10;483.8;0.8167
0;1;10;483.8;0.8333
0;1;11;484.2;0.85
0;1;11;484.2;0.8667
0;1;11;484.2;0.8833
0;1;11;484.2;0.9
0;1;11;484.2;0.9167
0;1;12;483.7;0.9333
0;1;12;483.7;0.95
0;1;12;483.7;0.9667
0;1;12;483.7;0.9833
0;1;12;483.7;1
0;1;13;484.7;1.0167
0;1;13;484.7;1.0333
0;1;13;484.7;1.05
0;1;13;484.7;1.0667
0;1;13;484.7;1.0833
0;1;14;483.2;1.1
0;1;14;483.2;1.1167
0;1;14;483.2;1.1333
0;1;14;483.2;1.15
0;1;14;483.2;1.1667
0;1;15;482.5;1.1833
0;1;15;482.5;1.2
0;1;15;482.5;1.2167
0;1;15;482.5;1.2333
0;1;15;482.5;1.25
0;1;16;480.7;1.2667
0;1;16;480.7;1.2833
0;1;16;480.7;1.3
0;1;16;480.7;1.3167
0;1;16;480.7;1.3333
0;1;17;479.6;1.35
0;1;17;479.6;1.3667
0;1;17;479.6;1.3833
0;1;17;479.6;1.4
0;1;17;479.6;1.4167
0;1;18;477;1.4333
0;1;18;477;1.45
0;1;18;477;1.4667
0;1;18;477;1.4833
0;1;18;477;1.5
0;1;19;476.1;1.5167
0;1;19;476.1;1.5333
0;1;19;476.1;1.55
0;1;19;476.1;1.5667
0;1;19;476.1;1.5833
0;1;20;474.5;1.6
0;1;20;474.5;1.6167
0;1;20;474.5;1.6333
0;1;20;474.5;1.65
0;1;20;474.5;1.6667
0;1;21;472.4;1.6833
0;1;21;472.4;1.7
0;1;21;472.4;1.7167
0;1;21;472.4;1.7333
0;1;21;472.4;1.75
0;1;22;471.4;1.7667
0;1;22;471.4;1.7833
0;1;22;471.4;1.8
0;1;22;471.4;1.8167
0;1;22;471.4;1.8333
0;1;23;470.5;1.85
0;1;23;470.5;1.8667
0;1;23;470.5;1.8833
0;1;23;470.5;1.9
0;1;23;470.5;1.9167
0;1;24;470.4;1.9333
0;1;24;470.4;1.95
0;1;24;470.4;1.9667
0;1;24;470.4;1.9833
0;1;24;470.4;2
0;1;25;470.2;2.0167
0;1;25;470.2;2.0333
0;1;25;470.2;2.05
0;1;25;470.2;2.0667
0;1;25;470.2;2.0833
0;1;26;469.5;2.1
0;1;26;469.5;2.1167
0;1;26;469.5;2.1333
0;1;26;469.5;2.15
0;1;26;469.5;2.1667
0;1;27;468.2;2.1833
0;1;27;468.2;2.2
0;1;27;468.2;2.2167
0;1;27;468.2;2.2333
0;1;27;468.2;2.25
0;1;28;466.3;2.2667
0;1;28;466.3;2.2833
0;1;28;466.3;2.3
0;1;28;466.3;2.3167
0;1;28;466.3;2.3333
0;1;29;465.3;2.35
0;1;29;465.3;2.3667
0;1;29;465.3;2.3833
0;1;29;465.3;2.4
0;1;29;465.3;2.4167
0;1;30;464.7;2.4333
0;1;30;464.7;2.45
0;1;30;464.7;2.4667
0;1;30;464.7;2.4833
0;1;30;464.7;2.5
0;1;31;463.7;2.5167
0;1;31;463.7;2.5333
0;1;31;463.7;2.55
0;1;31;463.7;2.5667
0;1;31;463.7;2.5833
0;1;32;462.4;2.6
0;1;32;462.4;2.6167
0;1;32;462.4;2.6333
0;1;32;462.4;2.65
0;1;32;462.4;2.6667
0;1;33;461.7;2.6833
0;1;33;461.7;2.7
0;1;33;461.7;2.7167
0;1;33;461.7;2.7333
0;1;33;461.7;2.75
0;1;34;459.7;2.7667
0;1;34;459.7;2.7833
0;1;34;459.7;2.8
0;1;34;459.7;2.8167
0;1;34;459.7;2.8333
0;1;35;458.7;2.85
0;1;35;458.7;2.8667
0;1;35;458.7;2.8833
0;1;35;458.7;2.9
0;1;35;458.7;2.9167
0;1;36;458.2;2.9333
0;1;36;458.2;2.95
0;1;36;458.2;2.9667
0;1;36;458.2;2.9833
0;1;36;458.2;3
0;1;37;456.9;3.0167
0;1;37;456.9;3.0333
0;1;37;456.9;3.05
0;1;37;456.9;3.0667
0;1;37;456.9;3.0833
0;1;38;456.2;3.1
0;1;38;456.2;3.1167
0;1;38;456.2;3.1333
0;1;38;456.2;3.15
0;1;38;456.2;3.1667
0;1;39;456.4;3.1833
0;1;39;456.4;3.2
0;1;39;456.4;3.2167
0;1;39;456.4;3.2333
0;1;39;456.4;3.25
0;1;40;456.4;3.2667
0;1;40;456.4;3.2833
0;1;40;456.4;3.3
0;1;40;456.4;3.3167
0;1;40;456.4;3.3333
0;1;41;456.1;3.35
0;1;41;456.1;3.3667
0;1;41;456.1;3.3833
0;1;41;456.1;3.4
0;1;41;456.1;3.4167
0;1;42;456.1;3.4333
0;1;42;456.1;3.45
0;1;42;456.1;3.4667
0;1;42;456.1;3.4833
0;1;42;456.1;3.5
0;1;43;455.2;3.5167
0;1;43;455.2;3.5333
0;1;43;455.2;3.55
0;1;43;455.2;3.5667
0;1;43;455.2;3.5833
0;1;44;454.6;3.6
0;1;44;454.6;3.6167
0;1;44;454.6;3.6333
0;1;44;454.6;3.65
0;1;44;454.6;3.6667
0;1;45;454.6;3.6833
0;1;45;454.6;3.7
0;1;45;454.6;3.7167
0;1;45;454.6;3.7333
0;1;45;454.6;3.75
